thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,Main,2,1.1230224999999336,up,1,90,up,0.2726530612244898,0.68,1.6009248000000298,3.4740118780535036,2.7462468054360607,conf,0.5,10,30,M,R,
,,2,Main,3,1.1230224999999336,[],0,90,up,0.11102040816326529,None,None,None,2.4159646748237007,None,None,10,30,M,R,
,,2,Main,4,0.9304935000000114,down,1,270,down,0.29285714285714287,0.61,1.4989847000006193,2.382370443157207,1.4805275893727763,conf,0.5,10,30,M,R,
,,2,Main,5,0.9004748999996082,up,1,90,up,0.4746938775510204,0.74,0.9197804999994332,4.216273945277126,2.039039730840755,conf,0.5,10,30,M,R,
,,2,Main,6,0.8931304999996428,down,1,270,down,0.23224489795918368,0.76,0.9158539000000019,3.345187950449411,2.922756211156246,conf,0.5,10,30,M,R,
,,2,Main,7,1.009211100000357,up,1,90,up,0.656530612244898,0.91,1.1276620999997249,4.284724268279099,3.924442637004686,conf,0.5,10,30,M,R,
,,2,Main,8,1.3262585000002218,down,1,270,down,0.2726530612244898,0.62,0.9423673000001145,2.867515157316347,1.2649545989035134,conf,0.5,10,30,M,R,
,,2,Main,9,0.9342394999994212,up,1,90,up,0.656530612244898,1.0,1.3621388999999908,3.8408202639758375,2.0255587829048216,conf,0.5,10,30,M,R,
,,2,Main,10,0.788619099999778,down,1,270,down,0.9191836734693878,1.0,1.388239099999737,2.033196128247368,2.5979316367808014,conf,0.5,10,30,M,R,
,,2,Main,11,1.0521034000003056,down,1,270,down,0.4342857142857143,0.76,0.9840094000001045,2.1512206622258256,2.8546439526884746,conf,0.5,10,30,M,R,
,,2,Main,12,0.9102925000006508,up,1,90,up,0.2726530612244898,0.76,1.007238199999847,4.623154849512116,1.5877965261423137,conf,0.5,10,30,M,R,
,,2,Main,13,1.794408700000531,down,1,270,down,0.4342857142857143,0.73,1.1619172000000617,2.650441079356176,3.3638529309060297,conf,0.5,10,30,M,R,
,,2,Main,14,1.2020535000001473,up,0,270,down,0.01,0.56,2.015713499999947,2.638624407923282,1.982339542950435,conf,0.5,10,30,M,R,
,,2,Main,15,0.7816430999992008,down,1,270,down,0.656530612244898,0.96,1.2919047000004866,4.926092084093666,3.794286678718408,conf,0.5,10,30,M,R,
,,2,Main,16,0.8057079000000158,down,1,270,down,0.5959183673469388,0.9,1.3700404000001072,3.687401061588474,1.351493846507477,conf,0.5,10,30,M,R,
,,2,Main,17,1.1129240999998729,up,1,90,up,0.07061224489795918,0.69,0.9081436000005851,2.7051289667197835,1.8723467820448456,conf,0.5,10,30,M,R,
,,2,Main,18,1.6095157999998264,down,1,270,down,0.35346938775510206,0.58,1.683039199999257,4.94560076931229,3.5452699539511245,conf,0.5,10,30,M,R,
,,2,Main,19,0.8538358000005246,up,1,90,up,0.9595918367346938,0.88,1.0955861000002187,3.5426834858405587,3.3103359659814293,conf,0.5,10,30,M,R,
,,2,Main,20,1.0053946000007272,up,1,90,up,0.07061224489795918,0.7,0.8783979999998337,4.262466566516075,3.56640501156227,conf,0.5,10,30,M,R,
,,2,Main,21,1.0659639999994397,down,1,270,down,0.3736734693877551,0.85,1.161374700000124,3.1238747377812723,2.6447098745045454,conf,0.5,10,30,M,R,
,,2,Main,22,0.9220279999999548,down,1,270,down,0.7777551020408163,0.93,1.2541801000006672,3.90352464753858,3.152116457983407,conf,0.5,10,30,M,R,
