thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,SC coherence,7,0.5940116000001581,down,0,90,up,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,8,0.4842437000006612,down,1,270,down,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,9,0.4989600999997492,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,10,0.49933820000023843,down,0,90,up,0.21666666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,11,0.4806490000000849,down,1,270,down,0.31666666666666665,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,12,0.49719920000006823,down,1,270,down,0.31666666666666665,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,13,0.5011683000002449,down,1,270,down,0.3,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,14,0.5981738000000405,up,1,90,up,0.3,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,15,0.6162545999995928,down,1,270,down,0.2833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,16,0.48122330000023794,down,1,270,down,0.2833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,17,0.6099205999998958,down,1,270,down,0.2833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,18,0.6584766999994827,down,1,270,down,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,19,0.6179025000001275,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,20,0.5644689999999173,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,21,0.4818576999996367,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,22,0.41407170000002225,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,23,0.5992175000001225,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,24,0.48308889999952953,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,25,0.5641574999999648,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,26,0.5156949000001987,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,27,0.44748619999973016,up,1,90,up,0.21666666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,28,0.41598870000052557,up,1,90,up,0.21666666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,29,0.4205967999996574,up,0,270,down,0.21666666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,30,0.6976171999995131,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,31,0.7316773000002286,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,32,0.4981272999993962,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,33,0.6657382000003054,down,1,270,down,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,34,0.6852615999996488,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,35,0.4488075999997818,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,36,0.4491907000001447,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,37,0.46075549999932264,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,38,0.4685235000006287,down,1,270,down,0.2,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,39,0.6490437000002203,down,1,270,down,0.2,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,40,0.5341920000000755,up,1,90,up,0.18333333333333332,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,41,0.5841805999998542,down,1,270,down,0.18333333333333332,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,42,0.7985465000001568,up,1,90,up,0.18333333333333332,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,43,0.5167184000001726,up,1,90,up,0.18333333333333332,5.226019351278028,,,,,,,1000,1000,1000,1000,
