thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,start_conf,subject,age,gender,handedness,
,,2,Main,6,0.5626053999985743,up,1,90,up,0.19183673469387755,conf,0.3600000000000001,2.2684007000007114,4.665800322965971,2.902043097284988,0.5618596539563914,6,22,M,R,
,,2,Main,7,0.529518299999836,up,1,90,up,0.1716326530612245,conf,0.52,1.2204045999988011,2.9454729617404576,2.145175868290881,0.2613808260364331,6,22,M,R,
,,2,Main,8,0.7002874999998312,up,0,270,down,0.15142857142857144,conf,0.06000000000000005,1.0881537000004755,3.499644962985677,3.2249913758754394,0.6094494718067254,6,22,M,R,
,,2,Main,9,0.5045035000002827,up,1,90,up,0.2524489795918367,control,None,None,3.7134494096871955,1.389879342520537,0.6506496304367291,6,22,M,R,
,,2,Main,10,0.5667795999997907,up,1,90,up,0.23224489795918368,control,0.52,1.848620299999311,3.538205474896347,1.0842929843368252,0.6283909784913814,6,22,M,R,
,,2,Main,11,0.4954390000002604,up,1,90,up,0.19183673469387755,control,0.5800000000000001,1.406736799999635,3.792174995352869,2.993859506099305,0.6622132758849161,6,22,M,R,
,,2,Main,12,0.5197829000007914,up,1,90,up,0.1716326530612245,control,0.54,0.8358469000013429,3.4039760265087895,2.5640481554456973,0.6264869399044166,6,22,M,R,
,,2,Main,13,0.44807399999990594,up,1,90,up,0.15142857142857144,conf,0.48,1.9062767000013991,2.7620121281199714,1.9138321286843096,0.3351541101293433,6,22,M,R,
,,2,Main,14,0.5162031999989267,up,0,270,down,0.15142857142857144,conf,-0.21999999999999997,1.2269547999985662,2.1247528248175995,3.816116386574641,0.290433489704498,6,22,M,R,
,,2,Main,15,0.7813655999998446,up,0,270,down,0.2120408163265306,conf,0.06000000000000005,1.627499499998521,3.323079314113918,2.992765348612322,0.31074577931283853,6,22,M,R,
,,2,Main,16,0.6874573000004602,down,1,270,down,0.2726530612244898,conf,0.94,1.609185500001331,3.2813958338941935,1.6570531269265627,0.49312034929016335,6,22,M,R,
,,2,Main,17,0.5567862999996578,up,1,90,up,0.2726530612244898,conf,0.96,0.9242926999995689,3.6185781089563984,2.416653029288902,0.726159565744976,6,22,M,R,
,,2,Main,18,0.6144991999990452,up,1,90,up,0.2524489795918367,conf,1.0,1.1378638000005594,3.129147036419255,3.611901603088395,0.4726381997613834,6,22,M,R,
,,2,Main,19,0.5350382000015088,up,1,90,up,0.23224489795918368,conf,0.74,1.9553469999991648,3.7501472910362508,3.9463979636938973,0.6270315181607021,6,22,M,R,
,,2,Main,20,0.4699761000010767,down,1,270,down,0.2120408163265306,conf,0.6599999999999999,2.2199558000011166,3.353319144204773,2.660972009699157,0.5059442390292205,6,22,M,R,
,,2,Main,21,0.52056580000135,up,1,90,up,0.2120408163265306,conf,0.72,0.9733648000001267,4.2667701013803985,2.339553563888493,0.4320201420175691,6,22,M,R,
,,2,Main,22,0.7570276000005833,down,1,270,down,0.19183673469387755,conf,0.3600000000000001,1.7591695999999502,2.8839132085386328,2.071579436425833,0.561063233091566,6,22,M,R,
,,2,Main,23,0.5256642000003922,up,1,90,up,0.1716326530612245,conf,0.6599999999999999,1.3681645999986358,4.011526090438068,1.4288116854970907,0.29399881796372185,6,22,M,R,
,,2,Main,24,0.7337869000002684,down,1,270,down,0.15142857142857144,conf,0.3999999999999999,1.2614455000002636,2.3245514441736557,1.0915786352150507,0.6538633490031077,6,22,M,R,
,,2,Main,25,0.5707753999995475,down,1,270,down,0.15142857142857144,control,0.30000000000000004,1.0864039000007324,2.6369484709232194,3.166590489950652,0.3932407172173247,6,22,M,R,
,,2,Main,26,0.5139446000011958,down,1,270,down,0.13122448979591836,conf,0.17999999999999994,2.3625066000004153,2.521976757729797,1.8924609415595093,0.28627742483647906,6,22,M,R,
,,2,Main,27,0.6708405999997922,down,1,270,down,0.13122448979591836,control,0.040000000000000036,1.068307100000311,3.3383943604837523,2.464590394169796,0.40771841085088467,6,22,M,R,
,,2,Main,28,0.5622930999998061,up,1,90,up,0.13122448979591836,conf,0.3600000000000001,0.7501067999983206,2.4637346027092386,3.065427480132714,0.6212400319440877,6,22,M,R,
,,2,Main,29,0.4494209000004048,up,0,270,down,0.11102040816326529,conf,-0.09999999999999998,1.151824200000192,2.4171323332731816,3.722771064520934,0.30499911607427765,6,22,M,R,
,,2,Main,30,0.6079871000001731,down,1,270,down,0.15142857142857144,conf,-0.19999999999999996,1.72857760000079,3.432912225200061,3.4107609461346238,0.6232096454610203,6,22,M,R,
,,2,Main,31,0.654115899998942,up,1,90,up,0.15142857142857144,conf,0.45999999999999996,0.9598294999996142,3.6646558919613157,1.9407967895467695,0.6992671365954486,6,22,M,R,
,,2,Main,32,0.6892281000000366,up,1,90,up,0.13122448979591836,conf,0.32000000000000006,1.3567720000010013,4.11927590637769,1.2209387268761174,0.28749812575916317,6,22,M,R,
,,2,Main,33,0.6409283000011783,up,1,90,up,0.13122448979591836,conf,0.43999999999999995,1.2426258999985293,3.5352499000826834,2.1603591633220622,0.45128911041674924,6,22,M,R,
,,2,Main,34,0.45154269999875396,up,1,90,up,0.11102040816326529,control,0.52,0.9945539000000281,3.1764485077081113,2.65440388236969,0.6109767493314654,6,22,M,R,
,,2,Main,35,0.7604707999998936,up,0,270,down,0.11102040816326529,control,0.6200000000000001,1.832833500000561,4.466031692451284,1.0117214177653118,0.6041437518862562,6,22,M,R,
,,2,Main,36,0.9824594000001525,down,1,270,down,0.15142857142857144,conf,0.74,2.5424851999996463,2.0935791868947953,2.251096589519119,0.4894109264445979,6,22,M,R,
,,2,Main,37,0.7960113999997702,down,1,270,down,0.15142857142857144,control,0.17999999999999994,1.5915888999988965,3.924993397359548,1.2625059992169367,0.45636044293579964,6,22,M,R,
,,2,Main,38,0.6955330000000686,up,1,90,up,0.13122448979591836,conf,None,None,2.8117403769766973,2.7986384144881873,0.5328164820861475,6,22,M,R,
,,2,Main,39,0.47552400000131456,up,1,90,up,0.13122448979591836,conf,0.74,1.4982280000003811,2.7807576404719505,2.9692911803945856,0.635397685607626,6,22,M,R,
,,2,Main,40,0.49563730000045325,down,1,270,down,0.11102040816326529,conf,0.9199999999999999,1.6754027000006317,4.374809298458694,1.2763238424542183,0.5961354600614007,6,22,M,R,
,,2,Main,41,0.6698067000015726,down,1,270,down,0.11102040816326529,conf,0.8600000000000001,2.1380743000008806,2.1673596578431313,1.9433295047360852,0.317998928977935,6,22,M,R,
,,2,Main,42,0.6204168000003847,up,1,90,up,0.11102040816326529,control,0.28,1.761711800001649,2.4778399529101454,1.1256481312125328,0.5461972534846461,6,22,M,R,
,,2,Main,43,0.4546312000002217,up,1,90,up,0.09081632653061224,conf,0.7,0.7998150000003079,2.256949692962844,1.1670780947992037,0.625766979839335,6,22,M,R,
,,2,Main,44,0.596250599999621,up,1,90,up,0.09081632653061224,conf,0.8200000000000001,1.1611666999997396,4.389425011238188,2.2790012935297845,0.30324514804837427,6,22,M,R,
,,2,Main,45,0.5847782000000734,down,1,270,down,0.09081632653061224,conf,-0.09999999999999998,1.6194552999986627,2.951734814826489,3.6322252926640055,0.49694183262895336,6,22,M,R,
,,3,Main,0,0.3832548999998835,down,0,90,up,0.07061224489795918,conf,-0.28,1.1650050999996893,2.5537497223372645,3.8947658858691665,0.627828222438155,6,22,M,R,
,,3,Main,1,0.6878675000007206,down,1,270,down,0.11102040816326529,control,-0.84,1.6568880999984685,3.2679470256258787,3.6421272429731593,0.6466888817820344,6,22,M,R,
,,3,Main,2,0.7066525999998703,down,1,270,down,0.030204081632653063,conf,0.020000000000000018,1.7122228999996878,2.3138691166687053,3.390874411908116,0.5672591038977147,6,22,M,R,
,,3,Main,3,0.706117700001414,down,1,270,down,0.05040816326530612,conf,0.10000000000000009,1.2838327999998,3.241624803671663,3.218499510298462,0.5936554276224687,6,22,M,R,
,,3,Main,4,0.5798125999990589,down,0,90,up,0.05040816326530612,control,-0.96,1.633408399999098,4.500453351961106,3.424348245678501,0.2889498189575209,6,22,M,R,
,,3,Main,5,0.7554319999999279,up,0,270,down,0.09081632653061224,conf,0.06000000000000005,1.768537899999501,2.7058853652340846,3.16404066531135,0.4450973005470058,6,22,M,R,
,,3,Main,6,1.033993200000623,down,1,270,down,0.15142857142857144,conf,0.0,1.797713099998873,3.322786167818155,1.1312060367086698,0.2800233606900462,6,22,M,R,
,,3,Main,7,0.930177400001412,down,1,270,down,0.07061224489795918,conf,0.020000000000000018,1.208016200000202,4.175749297778726,2.792681335221598,0.5782714781789015,6,22,M,R,
,,3,Main,8,0.6886618999997154,up,1,90,up,0.15142857142857144,conf,0.56,1.755572399999437,3.036475720464444,3.936955626984971,0.43303238949881745,6,22,M,R,
,,3,Main,9,0.6716711999997642,down,0,90,up,0.07061224489795918,conf,0.9199999999999999,2.1059547000004386,4.237665207015473,1.9808327200696523,0.6959321540501341,6,22,M,R,
,,3,Main,10,0.5472470999993675,up,1,90,up,0.13122448979591836,conf,0.94,1.12341109999943,4.444073048362139,2.2583561267332115,0.5372984329108885,6,22,M,R,
,,3,Main,11,0.756077699999878,down,1,270,down,0.15142857142857144,conf,0.9199999999999999,1.396062499999971,3.07871541624536,1.3454214452202093,0.4771487574870516,6,22,M,R,
,,3,Main,12,0.6509992000010243,down,1,270,down,0.09081632653061224,control,0.3600000000000001,1.7360617999984242,3.7852587712538646,2.973965202777522,0.5248431282377644,6,22,M,R,
,,3,Main,13,0.5580792000000656,down,1,270,down,0.07061224489795918,conf,-0.040000000000000036,1.720080200000666,2.15658270169779,2.1866333331382726,0.30025999107749407,6,22,M,R,
,,3,Main,14,0.6939022000005934,down,0,90,up,0.030204081632653063,conf,-0.31999999999999995,1.0735958000004757,4.174835819459986,1.2561871378401244,0.6202530797606238,6,22,M,R,
,,3,Main,15,0.7562504000015906,down,1,270,down,0.19183673469387755,conf,0.26,1.0727728000001662,2.6026136160200326,1.5331854498735198,0.3993281234085035,6,22,M,R,
,,3,Main,16,0.6475381000000198,up,1,90,up,0.07061224489795918,conf,0.3999999999999999,1.5597647999984474,2.2234630624150293,2.8475878959958587,0.5301759312555316,6,22,M,R,
,,3,Main,17,0.5674107000013464,up,1,90,up,0.07061224489795918,conf,0.52,0.9611294000005728,2.17426530564693,2.134758695564424,0.471168183399706,6,22,M,R,
,,3,Main,18,0.6285363999995752,down,1,270,down,0.15142857142857144,conf,-0.12,1.1526438999990205,3.129701985935679,2.579254025136614,0.6743846901162064,6,22,M,R,
,,3,Main,19,0.5851090000014665,up,1,90,up,0.09081632653061224,conf,0.6399999999999999,0.7735680000005232,2.430327763312376,3.009796855709257,0.47364784324810716,6,22,M,R,
,,3,Main,20,0.7213303999997152,up,1,90,up,0.1716326530612245,conf,0.76,1.1168280000001687,2.8732914654332653,1.989526959455559,0.7388001480052421,6,22,M,R,
,,3,Main,21,0.5747099000000162,up,1,90,up,0.1716326530612245,conf,0.8799999999999999,0.9392590999996173,4.00528838691476,1.7347817037057014,0.4043240001485887,6,22,M,R,
,,3,Main,22,0.4788656999990053,up,1,90,up,0.030204081632653063,conf,0.6000000000000001,1.3686242000003404,2.5624309968867114,3.7250016092523786,0.2606998626128403,6,22,M,R,
,,3,Main,23,0.5730733000000328,down,1,270,down,0.13122448979591836,conf,0.6000000000000001,0.7407373999994888,3.1849960998752946,2.280916108976636,0.4434009056803205,6,22,M,R,
,,3,Main,24,0.5984392999998818,down,0,90,up,0.01,conf,0.040000000000000036,1.514918499999112,4.237926686998569,2.5319599743984487,0.6627957010123872,6,22,M,R,
,,3,Main,25,0.8642459000002418,up,0,270,down,0.030204081632653063,conf,0.020000000000000018,1.3975339999997232,4.036813925823371,2.8322360389959202,0.27076615313171276,6,22,M,R,
,,3,Main,26,0.9481520999997883,up,1,90,up,0.15142857142857144,conf,0.54,1.847474999998667,2.4691297385302002,1.7099733732033386,0.3974542518983427,6,22,M,R,
,,3,Main,27,0.5981811999990896,up,0,270,down,0.09081632653061224,conf,0.08000000000000007,1.2830988000005163,2.5009887476403256,1.6252526434285532,0.5211283101927495,6,22,M,R,
,,3,Main,28,1.1231334999993123,up,0,270,down,0.13122448979591836,conf,0.0,1.677120799999102,2.0480449083510925,1.170044566963836,0.6614278812590288,6,22,M,R,
,,3,Main,29,0.9092408999986219,down,1,270,down,0.13122448979591836,conf,-0.06000000000000005,1.5750127999999677,2.6877434067282655,3.9430414367773867,0.7319599175447854,6,22,M,R,
,,3,Main,30,0.6887231000000611,down,1,270,down,0.15142857142857144,conf,0.6000000000000001,2.1423294999985956,4.968436602803703,2.4395699860548947,0.7367287377915868,6,22,M,R,
,,3,Main,31,1.8067465000003722,down,1,270,down,0.13122448979591836,control,-0.84,1.5044166000006953,3.371048009454668,1.067216412293376,0.5274404278097368,6,22,M,R,
,,3,Main,32,0.5623610000002373,up,1,90,up,0.15142857142857144,conf,0.3600000000000001,1.3863168000007136,4.030083338493814,1.9549001997751323,0.2904201333456896,6,22,M,R,
,,3,Main,33,0.6078665000004548,down,1,270,down,0.11102040816326529,control,-0.84,2.3326087999994343,2.7459646686021655,2.155999317687513,0.5153114831874591,6,22,M,R,
,,3,Main,34,0.6032461000013427,up,0,270,down,0.13122448979591836,control,-0.92,1.6944227000003593,4.779905650356775,2.8111851337061236,0.5648142659560869,6,22,M,R,
,,3,Main,35,0.6532796000010421,up,1,90,up,0.05040816326530612,control,-0.9,1.345949799999289,3.9938924199820547,2.518506406924571,0.5025663796630695,6,22,M,R,
,,3,Main,36,1.0960802000008698,up,0,270,down,0.07061224489795918,conf,-0.84,1.7909583000000566,2.524344568666172,2.7290954721936704,0.4986374709433678,6,22,M,R,
,,3,Main,37,0.6352044000013848,up,1,90,up,0.15142857142857144,conf,0.45999999999999996,1.6296060000004218,3.642722085384066,1.9784684997047388,0.7215896115064245,6,22,M,R,
,,3,Main,38,0.553111600000193,up,1,90,up,0.11102040816326529,control,0.5800000000000001,2.061273799999981,3.3296101813193406,2.6101903090486873,0.38033353575916146,6,22,M,R,
,,3,Main,39,0.635181300000113,up,0,270,down,0.05040816326530612,conf,0.6200000000000001,2.054857400000401,3.751077229371595,3.0134627913450736,0.42407710426143935,6,22,M,R,
,,3,Main,40,0.7175990999985515,up,1,90,up,0.05040816326530612,conf,0.41999999999999993,1.5279834999982995,2.9598120138738606,2.919192218211876,0.5879159486736075,6,22,M,R,
,,3,Main,41,0.5779448000012053,up,1,90,up,0.13122448979591836,control,0.8999999999999999,0.9469927000009193,3.417638571070529,1.2255878018310242,0.7364615289720359,6,22,M,R,
,,3,Main,42,0.5865904000002047,up,1,90,up,0.15142857142857144,control,0.8999999999999999,1.4174800000000687,2.7231511023182153,2.0006503465361063,0.5845073927973984,6,22,M,R,
,,3,Main,43,0.5289959000001545,up,1,90,up,0.09081632653061224,conf,0.96,1.0005072000003565,2.0965495092219673,3.5642906904250746,0.5899289695299246,6,22,M,R,
,,3,Main,44,0.7830919999996695,up,1,90,up,0.13122448979591836,conf,0.94,1.323005899999771,4.964612137106089,2.1561797044470494,0.6267627699898504,6,22,M,R,
,,3,Main,45,0.7577144000006228,up,0,270,down,0.15142857142857144,conf,0.41999999999999993,0.851299599999038,2.42510552992069,2.5017675331569875,0.4242551745600298,6,22,M,R,
,,4,Main,0,0.7389812000001257,up,0,270,down,0.01,conf,None,None,4.716944387416559,3.5413810234981122,0.4111657872426342,6,22,M,R,
,,4,Main,1,0.5651297000003979,down,1,270,down,0.2524489795918367,control,0.96,1.2304544999988138,3.938371950174587,2.2124697659319867,0.5992525953353137,6,22,M,R,
,,4,Main,2,0.6515703000004578,up,1,90,up,0.1716326530612245,control,0.9199999999999999,1.4604663999998593,4.978514953438145,2.6737433873773204,0.30567170453456904,6,22,M,R,
,,4,Main,3,0.6232536999996228,down,1,270,down,0.23224489795918368,conf,0.98,1.2607790000001842,2.814865527577439,3.2016384121720876,0.29504696328809915,6,22,M,R,
,,4,Main,4,0.5294086999983847,down,1,270,down,0.2120408163265306,conf,0.96,1.470155099999829,4.113271890816897,1.1138315386169213,0.3167982708950074,6,22,M,R,
,,4,Main,5,0.5493631999997888,up,1,90,up,0.1716326530612245,conf,0.98,1.7414078999991034,4.2459825470860535,2.109466746674711,0.6055091247967662,6,22,M,R,
,,4,Main,6,0.5205958000005921,up,1,90,up,0.2120408163265306,conf,0.94,1.383542400000806,4.0578193778445915,2.899019388003564,0.4302865426509321,6,22,M,R,
,,4,Main,7,0.5101095999998506,up,1,90,up,0.07061224489795918,conf,0.9199999999999999,0.8873600000006263,2.75884237769717,2.8833514042374886,0.490380986376898,6,22,M,R,
,,4,Main,8,0.4970825000000332,up,1,90,up,0.05040816326530612,conf,0.6399999999999999,0.8312904999984312,4.818605323803568,3.0236757340842724,0.6139332606131377,6,22,M,R,
,,4,Main,9,0.5420938000006572,down,1,270,down,0.2120408163265306,conf,0.94,0.894460399998934,2.632458536755306,1.1210964719058336,0.6492680892417334,6,22,M,R,
,,4,Main,10,0.5253214999993361,up,1,90,up,0.2524489795918367,conf,0.96,1.6187604000006104,3.6093895093503954,2.7820024988267993,0.25315982459769265,6,22,M,R,
,,4,Main,11,0.4822819000000891,up,1,90,up,0.2120408163265306,conf,0.9199999999999999,1.2429776999997557,3.4587934913060514,2.0131238278659214,0.3704506071280981,6,22,M,R,
,,4,Main,12,0.7491508000002796,up,0,270,down,0.1716326530612245,conf,None,None,4.165169885739823,1.7226827684600703,0.5224413808752343,6,22,M,R,
,,4,Main,13,0.518113699999958,up,1,90,up,0.13122448979591836,conf,0.96,1.0043857000000571,2.9327709631773944,1.8275144199713382,0.43315682624839114,6,22,M,R,
,,4,Main,14,0.5181384000006801,up,1,90,up,0.19183673469387755,conf,0.94,1.2215209000005416,3.8841225194344795,2.9909466157550137,0.3090874616760423,6,22,M,R,
,,4,Main,15,0.5181384000006801,[],0,270,down,0.01,None,None,None,None,2.300718529777483,0.3090874616760423,6,22,M,R,
,,4,Main,16,0.6529206999985036,down,1,270,down,0.19183673469387755,conf,0.72,1.2997703999990335,4.623664351677545,1.297191699500329,0.2898386877071973,6,22,M,R,
,,4,Main,17,0.6155233999998018,up,1,90,up,0.07061224489795918,conf,0.8999999999999999,2.2961895000007644,2.3880853285831862,2.149050501240717,0.591683709385282,6,22,M,R,
,,4,Main,18,0.5142543999991176,down,1,270,down,0.09081632653061224,control,0.8,1.2354011000006722,2.698647219508879,3.367363092393815,0.5980969609542729,6,22,M,R,
,,4,Main,19,0.5144132000004902,down,1,270,down,0.29285714285714287,conf,0.9199999999999999,1.7193704000001162,2.713788580483163,2.939649831700519,0.4440060402782246,6,22,M,R,
,,4,Main,20,0.5085029000001668,down,1,270,down,0.1716326530612245,conf,0.94,0.96531479999976,4.597522074768573,3.2634737901385793,0.4124676321828755,6,22,M,R,
