thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,sub,age,gender,handedness,
,,0,tutorial,0,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,1,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,2,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,3,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,4,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,5,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,6,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,7,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,8,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,9,down,0,180,left,0.9,,,0,30,Man,Right,
,,1,SC dotlife,0,None,0,180,left,0.3,nan,11,0,30,Man,Right,
,,1,SC dotlife,1,None,0,0,right,0.3,nan,13,0,30,Man,Right,
,,1,SC dotlife,2,None,0,0,right,0.3,nan,15,0,30,Man,Right,
,,1,SC dotlife,3,left,1,180,left,0.3,0.29975379999086726,17,0,30,Man,Right,
,,1,SC dotlife,4,left,1,180,left,0.3,0.33339739999792073,17,0,30,Man,Right,
,,1,SC dotlife,5,right,1,0,right,0.3,0.2677988999930676,17,0,30,Man,Right,
,,1,SC dotlife,6,right,1,0,right,0.3,0.28471669999998994,17,0,30,Man,Right,
,,1,SC dotlife,7,left,1,180,left,0.3,0.366317899999558,17,0,30,Man,Right,
,,1,SC dotlife,8,right,1,0,right,0.3,0.31791240000166,17,0,30,Man,Right,
,,1,SC dotlife,9,None,0,0,right,0.3,nan,15,0,30,Man,Right,
,,1,SC dotlife,10,left,1,180,left,0.3,0.34985389999928884,17,0,30,Man,Right,
,,1,SC dotlife,11,left,1,180,left,0.3,0.46605999999155756,17,0,30,Man,Right,
,,1,SC dotlife,12,right,1,0,right,0.3,0.3004531000042334,17,0,30,Man,Right,
,,1,SC dotlife,13,left,1,180,left,0.3,0.2675602999952389,17,0,30,Man,Right,
,,1,SC dotlife,14,right,1,0,right,0.3,0.2003672999999253,17,0,30,Man,Right,
,,1,SC dotlife,15,left,1,180,left,0.3,0.31674690000363626,17,0,30,Man,Right,
,,1,SC dotlife,16,right,1,0,right,0.3,0.28380760000436567,17,0,30,Man,Right,
,,1,SC dotlife,17,right,1,0,right,0.3,0.28592270000081044,17,0,30,Man,Right,
,,1,SC dotlife,18,left,1,180,left,0.3,0.3156472999980906,15,0,30,Man,Right,
,,1,SC dotlife,19,left,1,180,left,0.3,0.2841941000078805,15,0,30,Man,Right,
