thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,1.3418910000000324,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,1.7233541999994486,None,0,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,2,1.3455350000003818,down,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,3,1.5454101000004812,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,4,1.3455715999998574,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,5,1.323876499999642,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,6,1.3087487000002511,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,7,1.7082656000002316,None,0,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,8,1.4267823999998654,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,9,1.591998699999749,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,10,1.4921677000002092,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,11,1.5249879999992118,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,12,1.6579674999993586,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,13,1.3582313999995677,down,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,14,1.3476866000000882,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,15,1.3124781000005896,down,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,16,1.3778707000001305,down,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,17,1.3263779999997496,up,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,18,1.3296947999997428,down,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,19,1.3133437999995294,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,20,1.1772168000006786,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,21,1.458455299999514,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,22,1.347120200000063,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,23,1.3598047999994378,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,24,1.4292938999997205,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,25,1.5303883000005953,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,26,1.430369900000187,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,27,1.3644895000006727,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,28,1.4629044000002978,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,29,1.278364099999635,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,30,1.310398200000236,up,1,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,31,1.3805427999996027,down,0,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,32,1.3792536999999356,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,33,1.3648689000001468,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,34,1.279250300000058,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,35,1.3097670999995898,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,36,1.331916099999944,down,0,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,37,1.5080388999995193,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,38,1.3307379999996556,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,39,1.4967256999998426,up,0,0,right,0.3,5,0,30,Man,Right,
