thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.25135799999407027,left,0,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,0.3175955999904545,left,0,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,2,0.2844731000077445,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,3,0.30087959999218583,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,4,0.31513029999041464,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,5,0.34968479999224655,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,6,0.26866709999740124,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,7,0.23363020000397228,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,8,0.2675279999966733,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,9,0.28444040000613313,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,10,0.26965679999557324,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,11,0.1339566999959061,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,12,0.3009737000102177,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,13,0.10070480000285897,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,14,0.15025160000368487,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,15,0.23341050000453833,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,16,0.13380720000714064,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,17,0.10215720000269357,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,18,0.06799039999896195,left,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,19,0.2341359999991255,left,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,20,0.08518519999051932,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,21,0.09977210000215564,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,22,0.13383609999436885,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,23,0.0174879999976838,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,24,nan,None,0,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,25,0.2675836000125855,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,26,0.13454269999056123,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,27,0.13370409999333788,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,28,0.25120220000098925,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,29,0.1838963999907719,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,30,0.3009145999967586,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,31,0.16850549999799114,right,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,32,0.05056190000323113,left,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,33,0.26783749999594875,left,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,34,0.2521386000007624,right,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,35,0.20053370000096038,left,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,36,0.15047780000895727,right,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,37,0.16798620000190567,right,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,38,nan,None,0,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,39,0.20163500000489876,left,1,180,left,0.3,5,0,30,Man,Right,
