thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,sub,age,gender,handedness,
,,0,tutorial,0,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,1,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,2,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,3,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,4,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,5,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,6,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,7,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,8,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,9,up,1,180,left,0.9,,,0,30,Man,Right,
,,1,SC dotlife,0,left,1,180,left,0.3,0.6496184999996331,11,0,30,Man,Right,
,,1,SC dotlife,1,None,0,180,left,0.3,nan,9,0,30,Man,Right,
,,1,SC dotlife,2,None,0,0,right,0.3,nan,13,0,30,Man,Right,
,,1,SC dotlife,3,right,1,0,right,0.3,0.03445070001180284,15,0,30,Man,Right,
,,1,SC dotlife,4,left,1,180,left,0.3,0.29989980001118965,15,0,30,Man,Right,
,,1,SC dotlife,5,right,0,180,left,0.3,0.6668990999896778,15,0,30,Man,Right,
