thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.10324519999994664,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,0.3172434999996767,left,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,2,nan,None,0,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,3,nan,None,0,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,4,nan,None,0,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,5,0.3336397000002762,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,6,0.3694224999999278,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,7,0.3004873999998381,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,8,0.284626800001206,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,9,0.3509916000002704,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,10,0.31777580000016314,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,11,0.51747240000077,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,12,0.317479800000001,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,13,0.31833329999972193,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,14,0.38367830000061076,right,1,0,right,0.3,13,0,30,Man,Right,
