thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,sub,age,gender,handedness,
,,0,tutorial,0,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,1,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,2,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,3,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,4,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,5,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,6,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,7,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,8,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,9,up,1,180,left,0.9,,,0,30,Man,Right,
,,1,SC dotlife,0,up,1,180,left,0.3,1.1957798000003095,9,0,30,Man,Right,
,,1,SC dotlife,1,up,1,180,left,0.3,1.3111267000003863,9,0,30,Man,Right,
,,1,SC dotlife,2,down,1,0,right,0.3,1.3430113000003985,7,0,30,Man,Right,
,,1,SC dotlife,3,down,0,180,left,0.3,1.3267783000001145,7,0,30,Man,Right,
,,1,SC dotlife,4,down,1,0,right,0.3,1.343266599999879,11,0,30,Man,Right,
,,1,SC dotlife,5,up,1,180,left,0.3,1.3597208999999566,9,0,30,Man,Right,
,,1,SC dotlife,6,down,1,0,right,0.3,1.4115148000000772,9,0,30,Man,Right,
,,1,SC dotlife,7,down,1,0,right,0.3,1.3443597000004956,9,0,30,Man,Right,
,,1,SC dotlife,8,down,1,0,right,0.3,1.353730099999666,9,0,30,Man,Right,
,,1,SC dotlife,9,up,1,180,left,0.3,1.3445695999998861,7,0,30,Man,Right,
,,1,SC dotlife,10,up,1,180,left,0.3,1.3722140999998373,7,0,30,Man,Right,
,,1,SC dotlife,11,down,0,180,left,0.3,1.4083145999993576,7,0,30,Man,Right,
,,1,SC dotlife,12,down,1,0,right,0.3,1.3294312999996691,9,0,30,Man,Right,
,,1,SC dotlife,13,down,1,0,right,0.3,1.3094263000002684,9,0,30,Man,Right,
,,1,SC dotlife,14,down,1,0,right,0.3,1.1263966999995318,9,0,30,Man,Right,
,,1,SC dotlife,15,up,1,180,left,0.3,1.329165500000272,9,0,30,Man,Right,
,,1,SC dotlife,16,down,1,0,right,0.3,1.3802231999998185,7,0,30,Man,Right,
,,1,SC dotlife,17,down,1,0,right,0.3,1.3196422000000894,7,0,30,Man,Right,
,,1,SC dotlife,18,down,1,0,right,0.3,1.3766099000004033,7,0,30,Man,Right,
,,1,SC dotlife,19,up,1,180,left,0.3,1.3465289999994638,7,0,30,Man,Right,
,,1,SC dotlife,20,down,1,0,right,0.3,1.37760789999993,7,0,30,Man,Right,
,,1,SC dotlife,21,up,1,180,left,0.3,1.3246862000005422,5,0,30,Man,Right,
,,1,SC dotlife,22,up,1,180,left,0.3,1.2914023000002999,5,0,30,Man,Right,
,,1,SC dotlife,23,up,1,180,left,0.3,1.193674000000101,5,0,30,Man,Right,
,,1,SC dotlife,24,down,1,0,right,0.3,1.2619124999991982,5,0,30,Man,Right,
,,1,SC dotlife,25,down,0,180,left,0.3,1.3097811999996338,5,0,30,Man,Right,
,,1,SC dotlife,26,down,0,180,left,0.3,1.3428343999994468,7,0,30,Man,Right,
,,1,SC dotlife,27,down,1,0,right,0.3,1.316976699999941,7,0,30,Man,Right,
,,1,SC dotlife,28,down,1,0,right,0.3,1.3023765999996613,7,0,30,Man,Right,
,,1,SC dotlife,29,up,1,180,left,0.3,1.3952723000002152,7,0,30,Man,Right,
