"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","start_conf","subject","age","gender","handedness"
"41",NA,NA,1,"Training - scales",0,0.853472599999805,"down",1,270,"down",0.2,"control",0.19,"1.4684314999994967","",NA,NA,5,2654,"h","r"
"42",NA,NA,1,"Training - scales",1,1.06598870000016,"up",1,90,"up",0.9,"control",1,"0.868615299999874","",NA,NA,5,2654,"h","r"
"43",NA,NA,1,"Training - scales",2,1.18655339999987,"down",0,90,"up",0.1,"conf",0.54,"1.669905300001119","",NA,NA,5,2654,"h","r"
"44",NA,NA,1,"Training - scales",3,0.669317899999442,"down",1,270,"down",1,"conf",0.99,"1.48675479999838","",NA,NA,5,2654,"h","r"
"45",NA,NA,1,"Training - scales",4,0.649763499999608,"down",1,270,"down",0.8,"conf",0.88,"0.7512896999996883","",NA,NA,5,2654,"h","r"
"46",NA,NA,1,"Training - scales",5,0.984523899998749,"up",1,90,"up",0.6,"conf",0.71,"0.6359663999992335","",NA,NA,5,2654,"h","r"
"47",NA,NA,1,"Training - scales",6,1.20155800000066,"up",1,90,"up",0.3,"control",0.46,"1.0680945000003703","",NA,NA,5,2654,"h","r"
"48",NA,NA,1,"Training - scales",7,0.985082400000465,"down",1,270,"down",0.5,"conf",0.92,"1.3530969000003097","",NA,NA,5,2654,"h","r"
"49",NA,NA,1,"Training - scales",8,1.05055459999858,"up",1,90,"up",0.7,"control",0.81,"0.499739299999419","",NA,NA,5,2654,"h","r"
"50",NA,NA,1,"Training - scales",9,0.818375099999685,"down",1,270,"down",0.4,"control",0.28,"1.552554699999746","",NA,NA,5,2654,"h","r"
"51",NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf",0.98,"1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r"
"52",NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf",0.61,"2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r"
"53",NA,NA,2,"Main",2,1.02586479999991,"down",1,270,"down",0.373673469387755,"conf",0.74,"0.7207567000004929","2.517541066143728",3.85353780035362,0.380778665674856,5,2654,"h","r"
"54",NA,NA,2,"Main",3,1.42459419999977,"down",1,270,"down",0.313061224489796,"conf",0.63,"1.0034493999992264","2.348369046518701",2.46235702233118,0.735368674546989,5,2654,"h","r"
"55",NA,NA,2,"Main",4,1.42456790000142,"up",1,90,"up",0.27265306122449,"conf",0.5,"0.919973600000958","2.3483527407832128",2.94638606555591,0.616626482619239,5,2654,"h","r"
"56",NA,NA,2,"Main",5,1.57452069999999,"up",1,90,"up",0.232244897959184,"conf",0.88,"0.7774489000003086","4.090718172110046",2.6348389830615,0.384041809675699,5,2654,"h","r"
"57",NA,NA,2,"Main",6,1.4342871000008,"down",0,90,"up",0.191836734693878,"control",0.49,"0.7931334999993851","4.419322183966823",3.77396906732995,0.554011575083031,5,2654,"h","r"
"58",NA,NA,2,"Main",7,0.930089100000259,"down",1,270,"down",0.333265306122449,"control",0.98,"1.062028199999986","2.079072701285213",2.10056277764336,0.643785489404951,5,2654,"h","r"
"59",NA,NA,2,"Main",8,1.2876981999998,"up",1,90,"up",0.292857142857143,"conf",0.84,"0.7659270000003744","3.832826425514146",3.37896293301556,0.686299277011765,5,2654,"h","r"
"60",NA,NA,2,"Main",9,1.6245256000002,"down",0,90,"up",0.27265306122449,"conf",0.34,"1.0750794000014139","2.460459226839181",2.59278729139069,0.62975432499738,5,2654,"h","r"
"61",NA,NA,2,"Main",10,0.860533900000519,"down",1,270,"down",0.373673469387755,"conf",0.86,"0.6599643000008655","3.727485367946448",3.6726969598376,0.522559672215072,5,2654,"h","r"
"62",NA,NA,2,"Main",11,1.63229470000078,"up",1,90,"up",0.353469387755102,"conf",0.65,"0.8620131999996374","4.245836587861911",3.5605470269583,0.570597788751978,5,2654,"h","r"
"63",NA,NA,2,"Main",12,1.36273719999917,"up",1,90,"up",0.313061224489796,"conf",0.51,"1.490984699999899","2.613535212052132",3.947004332867,0.536562308606943,5,2654,"h","r"
"64",NA,NA,2,"Main",13,1.41342359999908,"up",1,90,"up",0.292857142857143,"conf",0.51,"1.0634470999993937","3.6946044769457567",1.33327837615394,0.472578641446656,5,2654,"h","r"
"65",NA,NA,2,"Main",14,0.968579700000191,"down",1,270,"down",0.27265306122449,"control",0.83,"1.2083118000009563","3.5038237962258183",3.00867175389666,0.324863644491399,5,2654,"h","r"
"66",NA,NA,2,"Main",15,0.949731700000484,"down",1,270,"down",0.232244897959184,"conf",0.96,"1.4024128999990353","4.795100959864028",3.01533051865207,0.692601485092559,5,2654,"h","r"
"67",NA,NA,2,"Main",16,1.58893370000078,"down",1,270,"down",0.212040816326531,"conf",0.72,"0.6913444999991043","4.189543451667269",2.66535148420761,0.456713517140706,5,2654,"h","r"
"68",NA,NA,2,"Main",17,1.45871700000134,"up",1,90,"up",0.191836734693878,"conf",0.5,"1.665273700000398","2.5210789479520135",2.83569092891262,0.450758485081089,5,2654,"h","r"
"69",NA,NA,2,"Main",18,1.5362182000008,"up",1,90,"up",0.191836734693878,"conf",0.47,"0.9108278000003338","2.1830279557571997",3.09993215226729,0.529520891915512,5,2654,"h","r"
"70",NA,NA,2,"Main",19,1.52218740000171,"down",1,270,"down",0.171632653061224,"conf",0.57,"0.735868699999628","2.1290210058924175",2.86614488238945,0.25276650034075,5,2654,"h","r"
"71",NA,NA,2,"Main",20,1.55594550000023,"down",0,90,"up",0.151428571428571,"conf",0.49,"0.8250480000006064","4.926424080384228",1.46079003536321,0.522356667089134,5,2654,"h","r"
"72",NA,NA,2,"Main",21,1.84347600000001,"down",1,270,"down",0.212040816326531,"conf",0.6,"1.0199614000011934","2.1988304661738276",1.76401793045151,0.692267087757646,5,2654,"h","r"
"73",NA,NA,2,"Main",22,1.33934840000074,"down",1,270,"down",0.212040816326531,"control",0.69,"0.6061362000000372","3.193406571785674",2.97686553444014,0.51017893608995,5,2654,"h","r"
"74",NA,NA,2,"Main",23,1.67696799999976,"down",1,270,"down",0.191836734693878,"conf",0.48,"2.1723410000013246","2.449045286799878",2.81852706684819,0.587059506767797,5,2654,"h","r"
"75",NA,NA,2,"Main",24,1.68455539999923,"down",1,270,"down",0.191836734693878,"conf",0.71,"1.1412457000005816","2.5693617549125487",2.96146746940032,0.725169037064742,5,2654,"h","r"
"76",NA,NA,2,"Main",25,1.62723939999887,"down",0,90,"up",0.171632653061224,"conf",0.46,"0.9705752999998367","3.198537069981846",1.95171362878778,0.673190062183394,5,2654,"h","r"
"77",NA,NA,2,"Main",26,1.62723939999887,"[]",0,270,"down",0.232244897959184,"None",NA,"None","None",2.20791001610055,0.673190062183394,5,2654,"h","r"
"78",NA,NA,2,"Main",27,1.4879576000003,"down",1,270,"down",0.27265306122449,"conf",0.51,"1.044620999999097","4.092463344944157",2.29015408844577,0.699058039735118,5,2654,"h","r"
"79",NA,NA,2,"Main",28,1.79414259999976,"down",1,270,"down",0.252448979591837,"conf",0.54,"0.6979384999995091","4.774665473231665",2.5591690002549,0.265307833019526,5,2654,"h","r"
"80",NA,NA,2,"Main",29,1.4778038000004,"down",1,270,"down",0.252448979591837,"control",0.62,"0.9463448999995308","2.2581890203488686",2.24040813223059,0.26194981377805,5,2654,"h","r"
"81",NA,NA,2,"Main",30,1.4778038000004,"[]",0,270,"down",0.232244897959184,"None",NA,"None","None",3.90289323515031,0.26194981377805,5,2654,"h","r"
"82",NA,NA,2,"Main",31,1.19411989999935,"down",1,270,"down",0.27265306122449,"conf",0.57,"0.627381600001172","2.894604571248041",1.90046683456159,0.286310613239647,5,2654,"h","r"
"83",NA,NA,2,"Main",32,0.903317199999947,"up",1,90,"up",0.27265306122449,"control",0.83,"0.8376750999996148","3.2250920257937015",2.09044569658878,0.459181667875184,5,2654,"h","r"
"84",NA,NA,2,"Main",33,0.895610900000975,"up",1,90,"up",0.27265306122449,"conf",0.81,"0.8068707000002178","2.112969225798584",3.81215474960466,0.640608989955615,5,2654,"h","r"
"85",NA,NA,2,"Main",34,0.979393199999322,"up",1,90,"up",0.252448979591837,"control",0.84,"0.6378767999995034","2.0671888484069747",3.37620606040444,0.312221416329405,5,2654,"h","r"
"86",NA,NA,2,"Main",35,0.861309300000357,"down",1,270,"down",0.252448979591837,"conf",0.65,"0.8493551999999909","3.272574759808129",2.75211029222592,0.475704592903477,5,2654,"h","r"
"87",NA,NA,2,"Main",36,1.4693356000007,"up",1,90,"up",0.232244897959184,"conf",0.57,"0.7221772000011697","2.3403799242168564",1.30038762580031,0.355800253494498,5,2654,"h","r"
"88",NA,NA,2,"Main",37,1.38311329999851,"up",1,90,"up",0.232244897959184,"conf",0.94,"0.5074170000007143","3.6688398672069122",2.60171924069901,0.35744284760091,5,2654,"h","r"
"89",NA,NA,2,"Main",38,1.01775889999954,"up",1,90,"up",0.212040816326531,"conf",0.8,"0.6236129999997502","4.502662621593818",3.49956207735688,0.461485826151619,5,2654,"h","r"
"90",NA,NA,2,"Main",39,1.25900870000078,"up",1,90,"up",0.191836734693878,"conf",0.52,"0.935572600001251","2.0490499413835632",2.66844874814213,0.457237392630336,5,2654,"h","r"
"91",NA,NA,2,"Main",40,1.18490639999982,"down",0,90,"up",0.171632653061224,"conf",0.3,"0.6998172999992676","3.0120020455263767",2.37417619733187,0.680886608145705,5,2654,"h","r"
"92",NA,NA,2,"Main",41,1.32866319999994,"up",1,90,"up",0.232244897959184,"conf",0.56,"0.9834907999993447","2.0206956986745603",2.65626389910079,0.294884946849648,5,2654,"h","r"
"93",NA,NA,2,"Main",42,1.02845350000098,"down",1,270,"down",0.232244897959184,"conf",0.83,"0.7602765999999974","4.581788743659706",2.09972595495852,0.35027297969194,5,2654,"h","r"
"94",NA,NA,2,"Main",43,1.03042660000028,"up",1,90,"up",0.232244897959184,"conf",0.87,"0.6870064000013372","2.6873817716003834",2.24954463342395,0.45899266076455,5,2654,"h","r"
"95",NA,NA,2,"Main",44,1.13924490000136,"down",1,270,"down",0.212040816326531,"control",0.66,"0.5749324999997043","3.6738675326407746",3.7290246430099,0.527800781848109,5,2654,"h","r"
"96",NA,NA,2,"Main",45,0.810120000000097,"down",1,270,"down",0.212040816326531,"control",0.84,"0.6294770999993489","4.3762930471112576",3.3158904500271,0.417300301426729,5,2654,"h","r"
"97",NA,NA,3,"Main",0,0.742482399999062,"down",1,270,"down",0.151428571428571,"conf",0.81,"0.8609625999997661","3.4108150321134927",2.17566394826913,0.320160435155997,5,2654,"h","r"
"98",NA,NA,3,"Main",1,1.15998110000146,"down",1,270,"down",0.151428571428571,"control",0.54,"0.9165563999995356","3.619904773292168",1.83175616156284,0.639659748254162,5,2654,"h","r"
"99",NA,NA,3,"Main",2,1.02207610000005,"up",1,90,"up",0.171632653061224,"conf",0.65,"0.7824044999997568","3.5840194994973977",1.98077433225373,0.438057604967119,5,2654,"h","r"
"100",NA,NA,3,"Main",3,1.02118690000134,"down",1,270,"down",0.131224489795918,"control",0.49,"0.9129038999999466","3.9683749232156527",3.30721803465153,0.664487264534275,5,2654,"h","r"
"101",NA,NA,3,"Main",4,1.12939480000023,"up",1,90,"up",0.111020408163265,"conf",0.55,"0.8078607999996166","2.046827988896712",2.75530718145074,0.273515287248798,5,2654,"h","r"
"102",NA,NA,3,"Main",5,1.36493059999884,"down",0,90,"up",0.0504081632653061,"conf",0.5,"1.323165900001186","4.220552349915197",1.48906707039327,0.320559077366747,5,2654,"h","r"
"103",NA,NA,3,"Main",6,1.33159999999953,"down",1,270,"down",0.151428571428571,"conf",0.5,"0.9510442999999213","3.874826300823991",2.76652859667098,0.56852707699886,5,2654,"h","r"
"104",NA,NA,3,"Main",7,1.30380670000159,"down",1,270,"down",0.171632653061224,"conf",0.68,"1.7093777999998565","3.1046143644411606",2.83609002386642,0.598325846815771,5,2654,"h","r"
"105",NA,NA,3,"Main",8,1.15287030000036,"up",1,90,"up",0.0504081632653061,"control",0.48,"0.8369882999995752","4.728261463078933",2.48238239262287,0.439520246129674,5,2654,"h","r"
"106",NA,NA,3,"Main",9,1.12207970000054,"up",1,90,"up",0.0908163265306122,"conf",0.52,"1.0840549000004103","4.368819963122297",1.12869682669981,0.421617882614775,5,2654,"h","r"
"107",NA,NA,3,"Main",10,1.2227469999998,"up",1,90,"up",0.131224489795918,"conf",0.61,"1.2070856000009371","3.2090635733095016",3.28646419883884,0.339900321658333,5,2654,"h","r"
"108",NA,NA,3,"Main",11,1.2002794,"down",0,90,"up",0.0504081632653061,"control",0.48,"1.1497636000003695","4.9618332387714945",2.4813044253351,0.520575700115376,5,2654,"h","r"
"109",NA,NA,3,"Main",12,1.12670359999902,"down",1,270,"down",0.171632653061224,"conf",0.69,"0.7076426999992691","2.9651417275728122",3.94110732993501,0.307602336403319,5,2654,"h","r"
"110",NA,NA,3,"Main",13,1.34632740000052,"up",1,90,"up",0.171632653061224,"conf",0.58,"0.8045607000003656","4.41881141969462",2.82441460361045,0.726728059776283,5,2654,"h","r"
"111",NA,NA,3,"Main",14,1.17128479999883,"down",1,270,"down",0.171632653061224,"conf",0.71,"0.6818299999995361","2.165443014289694",2.86389979124188,0.356451429568785,5,2654,"h","r"
"112",NA,NA,3,"Main",15,1.15589270000055,"up",0,270,"down",0.0706122448979592,"conf",0.47,"0.9647750000003725","3.450367408345168",1.51067573807204,0.275620707341846,5,2654,"h","r"
"113",NA,NA,3,"Main",16,1.29064929999913,"down",0,90,"up",0.151428571428571,"control",0.52,"0.7292871000008745","3.772425823969316",3.94078430908748,0.42971546926132,5,2654,"h","r"
"114",NA,NA,3,"Main",17,1.16438560000097,"down",1,270,"down",0.212040816326531,"conf",0.8,"1.2615694999985863","4.88238662834061",3.03775724330861,0.505264420433786,5,2654,"h","r"
"115",NA,NA,3,"Main",18,1.53324599999905,"down",1,270,"down",0.151428571428571,"control",0.51,"0.9939897000003839","2.0989849479847775",1.93330747975448,0.418862717119243,5,2654,"h","r"
"116",NA,NA,3,"Main",19,1.33677530000023,"up",1,90,"up",0.171632653061224,"conf",0.58,"0.7238952000006975","3.5241022051703697",3.83743057221045,0.498882977057427,5,2654,"h","r"
"117",NA,NA,3,"Main",20,1.43660910000108,"up",1,90,"up",0.0908163265306122,"control",0.36,"1.28469049999876","2.9104906343720556",1.63280708834345,0.49042981479318,5,2654,"h","r"
"118",NA,NA,3,"Main",21,1.45310600000084,"up",1,90,"up",0.131224489795918,"conf",0.47,"0.8628662000010081","4.218099386004534",1.21583365895509,0.661672005277749,5,2654,"h","r"
"119",NA,NA,3,"Main",22,1.30214879999949,"up",0,270,"down",0.131224489795918,"control",0.5,"1.179475300001286","3.5015883908537155",2.54033976695802,0.442586948020916,5,2654,"h","r"
"120",NA,NA,3,"Main",23,1.32866889999968,"down",0,90,"up",0.111020408163265,"conf",0.49,"0.9144756000005145","2.23936952805461",2.03331262469432,0.636681851521687,5,2654,"h","r"
"121",NA,NA,3,"Main",24,1.23749229999885,"down",1,270,"down",0.151428571428571,"conf",0.63,"0.64542099999926","4.088393710336325",2.34422453319914,0.388521304745383,5,2654,"h","r"
"122",NA,NA,3,"Main",25,1.09267600000021,"down",1,270,"down",0.171632653061224,"control",0.68,"1.0842930999988312","2.7021031045920285",1.98552401614038,0.251263776454253,5,2654,"h","r"
"123",NA,NA,3,"Main",26,1.23548769999979,"up",1,90,"up",0.131224489795918,"conf",0.65,"1.1995927999996638","2.296972762047416",2.46432957716212,0.256138050196436,5,2654,"h","r"
"124",NA,NA,3,"Main",27,1.31216089999907,"up",1,90,"up",0.0908163265306122,"conf",0.5,"1.0862710999990668","2.969091364563864",3.70771406124213,0.662912720735395,5,2654,"h","r"
"125",NA,NA,3,"Main",28,1.16495329999998,"down",1,270,"down",0.171632653061224,"conf",0.69,"1.2151067000013427","2.361257004859219",3.26423936496142,0.707036802768984,5,2654,"h","r"
"126",NA,NA,3,"Main",29,1.00724369999989,"up",1,90,"up",0.0908163265306122,"control",0.5,"0.9119713000000047","2.238977828166642",1.89582308338395,0.671674675654251,5,2654,"h","r"
"127",NA,NA,3,"Main",30,1.30864500000098,"down",1,270,"down",0.0706122448979592,"conf",0.55,"0.7568946999999753","2.1446377550579294",2.72964487694796,0.682626386517511,5,2654,"h","r"
"128",NA,NA,3,"Main",31,1.45734019999873,"up",1,90,"up",0.111020408163265,"conf",0.53,"0.9078267999993841","3.078145735174422",3.58478673163269,0.423852170093112,5,2654,"h","r"
"129",NA,NA,3,"Main",32,1.5347012000002,"up",1,90,"up",0.0908163265306122,"conf",0.48,"0.9305896999994729","3.0807940411918424",3.98862441445444,0.58987577269616,5,2654,"h","r"
"130",NA,NA,3,"Main",33,1.33458620000056,"down",1,270,"down",0.01,"conf",0.51,"1.5094450999986293","2.3185035521580097",2.62369495537734,0.306373294785192,5,2654,"h","r"
"131",NA,NA,3,"Main",34,1.34663290000026,"up",0,270,"down",0.0908163265306122,"conf",0.48,"1.0772222999985388","2.963174095057379",3.25514365547823,0.662960912820314,5,2654,"h","r"
"132",NA,NA,3,"Main",35,1.18362659999912,"up",1,90,"up",0.0706122448979592,"conf",0.51,"0.9776326999999583","4.987887097060756",1.96517544734068,0.553494819737263,5,2654,"h","r"
"133",NA,NA,3,"Main",36,1.33617190000041,"up",0,270,"down",0.0504081632653061,"conf",0.5,"0.9029573000007076","2.008223459116143",2.52386978067647,0.29415894962458,5,2654,"h","r"
