thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.9023905999492854,up,1,90,up,0.3,29,0,30,Man,Right,
,,1,SC dotlife,1,0.6635533000226133,down,1,270,down,0.3,25,0,30,Man,Right,
,,1,SC dotlife,2,0.6962021000217646,up,1,90,up,0.3,23,0,30,Man,Right,
,,1,SC dotlife,3,0.9292939000297338,up,1,90,up,0.3,21,0,30,Man,Right,
,,1,SC dotlife,4,0.6789558999589644,up,1,90,up,0.3,19,0,30,Man,Right,
,,1,SC dotlife,5,0.5293585999752395,down,1,270,down,0.3,17,0,30,Man,Right,
,,1,SC dotlife,6,0.6130525000044145,up,0,270,down,0.3,15,0,30,Man,Right,
