thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,interval,interTrial.interval,scale,start_conf,SR_conf,RTrating,coherence,dotlife,sub,age,gender,handedness,
,,2,Main,0,1.0337500000023283,up,1,90,up,3.845819637296726,3.258157877398007,conf,0.440659916969979,0.6,1.5240848999965237,0.275,10.124918560478093,1,1,1,1,
,,2,Main,1,0.11060739999811631,down,1,270,down,2.986494054878066,2.39894386614172,conf,0.32403235221951426,0.24,0.7434121999976924,0.225,10.124918560478093,1,1,1,1,
