thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.5589282000000821,down,1,270,down,0.3,29,0,30,Man,Right,
,,1,SC dotlife,1,0.4113725000024715,up,1,90,up,0.3,25,0,30,Man,Right,
,,1,SC dotlife,2,0.39738389999911305,down,1,270,down,0.3,23,0,30,Man,Right,
,,1,SC dotlife,3,0.4780609000008553,down,1,270,down,0.3,21,0,30,Man,Right,
,,1,SC dotlife,4,0.3764317999994091,up,1,90,up,0.3,19,0,30,Man,Right,
,,1,SC dotlife,5,0.3314092000000528,up,1,90,up,0.3,17,0,30,Man,Right,
,,1,SC dotlife,6,0.36385860000154935,up,1,90,up,0.3,15,0,30,Man,Right,
,,1,SC dotlife,7,0.36394819999986794,up,1,90,up,0.3,13,0,30,Man,Right,
,,1,SC dotlife,8,0.4113649999999325,down,1,270,down,0.3,13,0,30,Man,Right,
,,1,SC dotlife,9,0.3616827000005287,down,1,270,down,0.3,11,0,30,Man,Right,
,,1,SC dotlife,10,0.3618977000005543,down,1,270,down,0.3,11,0,30,Man,Right,
,,1,SC dotlife,11,0.41505440000037197,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,12,0.5123813999998674,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,13,0.4986724999980652,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,14,0.41198390000135987,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,15,0.3627651999995578,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,16,0.4801755999978923,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,17,0.36200079999980517,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,18,0.32655849999719067,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,19,0.397024899997632,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,20,0.42648429999826476,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,21,0.43001229999936186,up,0,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,22,0.49139479999939795,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,23,0.3950053000007756,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,24,0.3938443000006373,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,25,0.41150460000062594,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,26,0.37676160000046366,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,27,0.37824299999920186,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,28,0.34583500000007916,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,29,0.3787313999964681,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,30,0.3473978000001807,down,0,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,31,0.3798772000009194,up,0,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,32,0.6794561999995494,down,1,270,down,0.3,11,0,30,Man,Right,
,,1,SC dotlife,33,0.3945672999980161,up,1,90,up,0.3,11,0,30,Man,Right,
,,1,SC dotlife,34,0.3965561000004527,up,1,90,up,0.3,11,0,30,Man,Right,
,,1,SC dotlife,35,0.38065519999872777,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,36,0.3644200999988243,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,37,0.47855730000082985,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,38,0.3836408000024676,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,39,0.482607599999028,down,1,270,down,0.3,9,0,30,Man,Right,
,,2,SC coherence,0,0.4882228999995277,up,1,90,up,0.3,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,1,0.41012749999936204,down,0,90,up,0.0,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,2,0.4599658000006457,up,1,90,up,0.2833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,3,0.37950760000239825,down,1,270,down,0.24166666666666667,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,4,0.6098479000029329,up,1,90,up,0.21666666666666667,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,5,0.44529590000092867,up,1,90,up,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,6,0.49393480000071577,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,7,0.4757675000000745,up,1,90,up,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,8,0.4949199000002409,down,1,270,down,0.11666666666666667,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,9,0.432112500002404,up,1,90,up,0.1,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,10,0.42850410000028205,up,1,90,up,0.08333333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,11,0.46007099999769707,up,1,90,up,0.08333333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,12,0.42537609999999404,down,1,270,down,0.058333333333333334,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,13,0.3799855999968713,down,1,270,down,0.058333333333333334,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,14,0.39458379999996396,down,1,270,down,0.058333333333333334,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,15,0.7941901999984111,down,1,270,down,0.041666666666666664,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,16,0.42815859999973327,down,1,270,down,0.041666666666666664,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,17,0.5109391000005417,down,0,90,up,0.041666666666666664,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,18,0.35078819999762345,up,0,270,down,0.058333333333333334,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,19,0.7108138000003237,down,1,270,down,0.1,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,20,0.6590800000012678,down,0,90,up,0.1,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,21,0.4264401000000362,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,22,0.3624215000018012,up,1,90,up,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,23,0.9282973000008496,up,1,90,up,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,24,0.4964203000017733,down,1,270,down,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,25,0.4086327999975765,down,1,270,down,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,26,0.49272840000048745,down,1,270,down,0.11666666666666667,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,27,0.6079768999989028,down,0,90,up,0.11666666666666667,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,28,0.5437179999971704,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,29,0.4756381000006513,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,30,0.47829649999766843,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,31,0.4262568000012834,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,32,0.5941605000007257,up,1,90,up,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,33,0.44059749999723863,down,1,270,down,0.15833333333333333,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,34,0.4259983000010834,down,1,270,down,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,35,0.4249777999975777,down,0,90,up,0.14166666666666666,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,36,0.6279045000010228,up,1,90,up,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,37,0.6640541000015219,down,1,270,down,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,38,0.4757051999986288,up,1,90,up,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,39,0.4232904000018607,down,1,270,down,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,40,0.40874149999945075,up,1,90,up,0.18333333333333332,7.55020788250837,0,30,Man,Right,
,,2,SC coherence,41,0.5099607000011019,up,1,90,up,0.18333333333333332,7.55020788250837,0,30,Man,Right,
