thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,2,SC coherence,66,0.008447699998214375,1,270,down,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,67,0.00925210000059451,1,90,up,0.24166666666666667,10,0,30,Man,Right,
,,2,SC coherence,68,0.010003300001699245,1,270,down,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,69,0.008595499999501044,1,270,down,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,70,0.004594099998939782,1,270,down,0.24166666666666667,10,0,30,Man,Right,
,,2,SC coherence,71,0.007329500000196276,1,270,down,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,72,0.009256500001356471,1,90,up,0.21666666666666667,10,0,30,Man,Right,
,,2,SC coherence,73,0.00850939999872935,1,270,down,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,74,0.008013700000446988,1,90,up,0.2,10,0,30,Man,Right,
,,2,SC coherence,75,0.009237100002792431,1,90,up,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,76,0.007552999999461463,1,270,down,0.18333333333333332,10,0,30,Man,Right,
,,2,SC coherence,77,0.005985300002066651,1,90,up,0.9833333333333333,10,0,30,Man,Right,
,,2,SC coherence,78,0.007733400001598056,1,270,down,0.18333333333333332,10,0,30,Man,Right,
,,2,SC coherence,79,0.0067935000006400514,1,90,up,0.9833333333333333,10,0,30,Man,Right,
