thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,SR_conf,coherence,dotlife,sub,age,gender,handedness,
,,2,Training - scale,0,1.4225953000059235,up,1,90,up,0.57,0.1,10.124918560478093,0,30,Man,Right,
,,2,Training - scale,1,0.9007067999991705,down,1,270,down,0.3,0.7,10.124918560478093,0,30,Man,Right,
,,2,Training - scale,2,0.6834920000037528,up,1,90,up,0.66,1.0,10.124918560478093,0,30,Man,Right,
,,2,Training - scale,3,0.4499511000030907,down,1,270,down,0.51,0.4,10.124918560478093,0,30,Man,Right,
