thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,sub,age,gender,handedness,
,,1,SC dotlife,0,0.7585114999965299,up,1,90,up,0.3,29,,,0,30,Man,Right,
,,1,SC dotlife,1,0.36302819999400526,down,1,270,down,0.3,25,,,0,30,Man,Right,
,,1,SC dotlife,2,0.44235940001090057,down,1,270,down,0.3,23,,,0,30,Man,Right,
,,1,SC dotlife,3,0.3940351999772247,up,1,90,up,0.3,21,,,0,30,Man,Right,
,,1,SC dotlife,4,0.42721230001188815,down,1,270,down,0.3,19,,,0,30,Man,Right,
,,1,SC dotlife,5,0.3924721000075806,up,1,90,up,0.3,17,,,0,30,Man,Right,
,,1,SC dotlife,6,0.3773157999967225,down,1,270,down,0.3,15,,,0,30,Man,Right,
,,1,SC dotlife,7,0.43065150000620633,up,1,90,up,0.3,13,,,0,30,Man,Right,
,,1,SC dotlife,8,0.3802977000013925,down,1,270,down,0.3,13,,,0,30,Man,Right,
,,1,SC dotlife,9,0.44670440000481904,up,1,90,up,0.3,11,,,0,30,Man,Right,
,,1,SC dotlife,10,0.49473169998964295,up,1,90,up,0.3,11,,,0,30,Man,Right,
,,1,SC dotlife,11,0.34576590001233853,down,1,270,down,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,12,0.3610667000175454,down,1,270,down,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,13,0.426153999986127,up,1,90,up,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,14,0.44536640000296757,up,1,90,up,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,15,0.4254830999998376,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,16,0.37729699999908917,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,17,0.4050633999868296,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,18,0.46368250000523403,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,19,0.48592680000001565,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,20,0.41077089999453165,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,21,0.3765664999955334,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,22,0.4094125000119675,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,23,0.37820690000080504,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,24,0.34945879998849705,down,0,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,25,0.3402944999979809,up,1,90,up,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,26,0.6286678000178654,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,27,0.4230639000015799,down,1,270,down,0.3,7,,,0,30,Man,Right,
