thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,1,SC dotlife,0,1.914591400010977,up,1,90,up,0.3,29,,,,,,,0,30,Man,Right,
,,1,SC dotlife,1,1.1874429999734275,down,1,270,down,0.3,25,,,,,,,0,30,Man,Right,
,,1,SC dotlife,2,1.6111461999826133,up,1,90,up,0.3,23,,,,,,,0,30,Man,Right,
,,1,SC dotlife,3,1.0802998000290245,up,1,90,up,0.3,21,,,,,,,0,30,Man,Right,
,,1,SC dotlife,4,0.6461629999685101,down,1,270,down,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,5,0.7468834000173956,up,1,90,up,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,6,0.7103408999973908,down,1,270,down,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,7,0.7782138999900781,down,1,270,down,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,8,1.4264095000107773,up,1,90,up,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,9,1.3597703999839723,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,10,1.6105432999902405,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,11,1.0107547999941744,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,12,1.277819000009913,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,13,1.8439455999759957,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,14,1.8117530000163242,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,15,nan,[],0,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,16,1.812659999995958,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,17,nan,[],0,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,18,1.3781306000309996,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,19,0.7315643999609165,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,20,0.8442772999987938,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,21,0.7639702999731526,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,22,0.6303582999971695,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,23,0.7453886000439525,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,24,0.7461160999955609,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,25,0.6444962999667041,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,26,0.5953637000056915,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,27,0.5457560999784619,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,28,0.5119018999976106,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,29,0.5782642000121996,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,30,0.8298809999832883,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
