thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,sub,age,gender,handedness,
,,2,SC coherence,47,0.008239799997681985,up,1,90,up,0.38333333333333336,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,48,0.009784699999727309,up,1,90,up,0.35833333333333334,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,49,0.009272399998735636,up,1,90,up,0.35833333333333334,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,50,0.009912099998473423,up,1,270,down,0.3416666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,51,0.00870299999951385,up,1,90,up,0.3416666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,52,0.008505399997375207,up,1,270,down,0.31666666666666665,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,53,0.009973200001695659,up,0,90,up,0.3,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,54,0.008331400000315625,up,1,270,down,0.6166666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,55,0.009219299998221686,up,0,90,up,0.6166666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,56,0.009662699998443713,up,1,90,up,0.8,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,57,0.009436500000447268,up,1,270,down,0.7833333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,58,0.009901400000671856,up,1,270,down,0.7833333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,59,0.008746600000449689,up,1,270,down,0.7833333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,60,0.009423100000276463,up,1,90,up,0.7583333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,61,0.010352299999794923,up,1,270,down,0.7583333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,62,0.007631399999809219,up,1,270,down,0.7583333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,63,0.010595899999316316,up,1,90,up,0.31666666666666665,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,64,0.009047999999893364,up,1,270,down,0.7583333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,65,0.008064400000876049,up,0,90,up,0.3,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,66,0.009687100002338411,up,1,90,up,0.7166666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,67,0.009192299999995157,up,1,270,down,0.3416666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,68,0.009141400001681177,up,1,270,down,0.7416666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,69,0.00867140000264044,up,1,270,down,0.31666666666666665,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,70,0.01024889999825973,up,1,90,up,0.31666666666666665,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,71,0.009061699998710537,up,1,90,up,0.3,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,72,0.009299800000007963,up,1,270,down,0.7583333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,73,0.010499299998627976,up,1,90,up,0.3,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,74,0.008676900000864407,up,1,270,down,0.2833333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,75,0.00944069999968633,up,1,270,down,0.2833333333333333,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,76,0.010210099997493671,up,1,90,up,0.25833333333333336,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,77,0.008841700000630226,up,1,90,up,0.24166666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,78,0.009929700001521269,up,1,270,down,0.24166666666666667,28.41714398883313,,,0,30,Man,Right,
,,2,SC coherence,79,0.008916200000385288,up,1,90,up,0.21666666666666667,28.41714398883313,,,0,30,Man,Right,
,,3,Training - scale,0,nan,[],0,90,up,0.4,,None,None,0,30,Man,Right,
