thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,sub,age,gender,handedness,
,,1,SC dotlife,0,0.5339359999998123,up,1,90,up,0.3,29,,,0,30,Man,Right,
,,1,SC dotlife,1,0.4276086000027135,down,1,270,down,0.3,25,,,0,30,Man,Right,
,,1,SC dotlife,2,0.3982713000004878,down,1,270,down,0.3,23,,,0,30,Man,Right,
,,1,SC dotlife,3,0.42887289999998757,down,1,270,down,0.3,21,,,0,30,Man,Right,
,,1,SC dotlife,4,0.3444065999974555,up,1,90,up,0.3,19,,,0,30,Man,Right,
,,1,SC dotlife,5,0.430560400000104,up,1,90,up,0.3,17,,,0,30,Man,Right,
,,1,SC dotlife,6,0.4638758999972197,up,1,90,up,0.3,15,,,0,30,Man,Right,
,,1,SC dotlife,7,0.37969259999954375,down,1,270,down,0.3,13,,,0,30,Man,Right,
,,1,SC dotlife,8,0.37960019999809447,up,1,90,up,0.3,13,,,0,30,Man,Right,
,,1,SC dotlife,9,0.38123110000015004,down,1,270,down,0.3,11,,,0,30,Man,Right,
,,1,SC dotlife,10,0.43238519999795244,up,1,90,up,0.3,11,,,0,30,Man,Right,
,,1,SC dotlife,11,0.3980568000006315,down,1,270,down,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,12,0.41013960000054794,up,1,90,up,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,13,0.32750080000187154,down,1,270,down,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,14,0.3630378000016208,down,1,270,down,0.3,9,,,0,30,Man,Right,
,,1,SC dotlife,15,0.5670442000009643,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,16,0.4956320000019332,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,17,0.3601206999992428,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,18,0.6472629999989294,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,19,0.3959800000011455,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,20,0.49287180000101216,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,21,0.4135143000021344,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,22,0.44672089999949094,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,23,0.41401849999965634,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,24,0.4619538000006287,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,25,0.4492138999994495,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,26,0.42672279999897,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,27,0.6298850999992283,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,28,0.44643689999793423,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,29,0.6092888000021048,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,30,0.5952405999996699,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,31,0.444712200001959,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,32,0.429724300000089,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,33,0.32931050000115647,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,34,0.3802192000002833,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,35,0.311408699999447,up,0,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,36,0.3631892000012158,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,37,0.5950469999988854,up,1,90,up,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,38,0.4641730000003008,up,0,270,down,0.3,7,,,0,30,Man,Right,
,,1,SC dotlife,39,0.5778664999998,down,1,270,down,0.3,7,,,0,30,Man,Right,
,,2,SC coherence,0,0.5550050999991072,up,1,90,up,0.3,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,1,1.1773547000011604,up,0,270,down,0.0,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,2,0.4436636000027647,up,1,90,up,0.2833333333333333,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,3,0.5576032999997551,down,1,270,down,0.24166666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,4,0.6122802999998385,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,5,0.3747186000000511,down,1,270,down,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,6,0.44429780000064056,up,0,270,down,0.15833333333333333,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,7,0.4939821000007214,down,1,270,down,0.2833333333333333,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,8,0.4275761999997485,up,1,90,up,0.2833333333333333,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,9,0.3934029999982158,down,1,270,down,0.25833333333333336,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,10,0.5116992000002938,up,1,90,up,0.24166666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,11,0.5627220999995188,up,1,90,up,0.24166666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,12,0.4774622000004456,up,1,90,up,0.24166666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,13,0.4103993000026094,down,1,270,down,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,14,0.4134864999978163,down,1,270,down,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,15,0.3780756000014662,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,16,0.4457978999998886,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,17,0.4126429999996617,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,18,0.3795180999986769,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,19,0.4147972999999183,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,20,0.36330159999852185,up,1,90,up,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,21,0.5771765999998024,down,1,270,down,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,22,0.44412450000163517,up,1,90,up,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,23,0.4280908000000636,up,0,270,down,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,24,0.4934544999996433,down,1,270,down,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,25,0.4265435000015714,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,26,0.42665370000031544,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,27,0.37996560000101454,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,28,0.37511629999789875,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,29,0.37129339999955846,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,30,0.34459939999942435,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,31,0.35654060000160825,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,32,0.3955949999981385,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,33,0.29117760000008275,up,1,90,up,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,34,0.2960099000010814,down,0,90,up,0.18333333333333332,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,35,0.45744790000026114,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,36,0.4247410999996646,down,1,270,down,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,37,0.3888924999992014,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,38,0.5108386000028986,up,1,90,up,0.21666666666666667,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,39,0.4759620000004361,up,1,90,up,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,40,0.5778628000007302,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,41,0.70905109999876,down,1,270,down,0.2,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,42,0.4103467000022647,up,1,90,up,0.15833333333333333,6.236507436228634,,,0,30,Man,Right,
,,2,SC coherence,43,0.42857439999716007,down,1,270,down,0.15833333333333333,6.236507436228634,,,0,30,Man,Right,
