thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,interval,interTrial.interval,scale,start_conf,SR_conf,RTrating,coherence,dotlife,sub,age,gender,handedness,
,,2,Main,0,1.09204850000242,down,1,270,down,3.6060477100708974,2.481975984499748,conf,0.3370289412613556,0.26,0.950709899996582,0.225,10.124918560478093,0,30,Man,Right,
,,2,Main,1,0.5852100999982213,up,1,90,up,3.1311421951460208,2.6181691458236154,conf,0.3606101745007027,0.82,0.5529411999959848,0.275,10.124918560478093,0,30,Man,Right,
,,2,Main,2,0.9828011999998125,down,1,270,down,4.274429095700418,2.2940508655422858,conf,0.5522370445106616,0.55,0.408297499998298,0.31666666666666665,10.124918560478093,0,30,Man,Right,
,,2,Main,3,0.9884560999998939,up,1,90,up,2.8788752226537673,3.003194569601969,conf,0.42393177920967595,0.96,0.4421744999999646,0.275,10.124918560478093,0,30,Man,Right,
