thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,2,SC coherence,0,0.474737799999275,up,1,90,up,0.3,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,1,0.37506130000110716,down,0,90,up,0.0,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,2,0.49264550000225427,up,1,90,up,0.2833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,3,0.49545819999912055,down,1,270,down,0.24166666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,4,0.394354399999429,up,1,90,up,0.21666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,5,0.844073299998854,down,1,270,down,0.18333333333333332,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,6,1.012538200000563,up,1,90,up,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,7,0.42816960000345716,down,1,270,down,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,8,0.2977363999998488,up,0,270,down,0.11666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,9,0.4773167999992438,down,1,270,down,0.21666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,10,0.34248350000052596,down,1,270,down,0.2,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,11,0.426523800000723,up,1,90,up,0.2,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,12,0.3619424999997136,up,1,90,up,0.18333333333333332,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,13,0.39576990000205114,down,1,270,down,0.18333333333333332,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,14,0.37773050000032526,up,1,90,up,0.18333333333333332,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,15,0.3284433999979228,down,1,270,down,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,16,0.3787621000010404,up,1,90,up,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,17,0.4285830000007991,up,1,90,up,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,18,0.4114473999979964,down,1,270,down,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,19,0.36079590000008466,up,1,90,up,0.15833333333333333,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,20,0.36043920000156504,down,1,270,down,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,21,0.36158849999992526,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,22,0.544644600002357,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,23,0.7082540999981575,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,24,0.812360500000068,down,1,270,down,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,25,0.42952819999845815,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,26,0.5934964000007312,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,27,0.4150627999988501,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,28,0.5290917999991507,up,1,90,up,0.14166666666666666,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,29,0.41112340000108816,down,1,270,down,0.11666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,30,0.42845350000061444,up,1,90,up,0.11666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,31,0.36105920000045444,down,1,270,down,0.11666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,32,0.329481400000077,up,1,90,up,0.11666666666666667,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,33,0.37921389999974053,up,1,90,up,0.1,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,34,0.561341699998593,up,1,90,up,0.1,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,35,0.5076618000020972,down,1,270,down,0.1,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,36,0.5616564999982074,up,1,90,up,0.1,28.41714398883313,0,30,Man,Right,
,,2,SC coherence,37,0.39393619999827933,up,1,90,up,0.1,28.41714398883313,0,30,Man,Right,
