thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,2,SC coherence,9,0.6105272000131663,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,10,0.47657719999551773,down,0,90,up,0.08333333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,11,0.4582188999920618,down,1,270,down,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,12,0.488526200002525,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,13,0.49191150002297945,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,14,0.6388818999985233,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,15,0.4778408999845851,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,16,0.576420799974585,down,1,270,down,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,17,0.5081678999995347,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,18,0.4604710999992676,down,0,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,19,0.5042718999902718,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,20,0.44404559998656623,down,1,270,down,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,21,0.5716034999932162,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,22,0.4905848999915179,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,23,0.393306100013433,down,0,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,24,0.445279199979268,down,1,270,down,0.18333333333333332,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,25,0.6137205999984872,down,1,270,down,0.18333333333333332,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,26,0.3771603000059258,up,1,90,up,0.18333333333333332,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,27,0.37619660000200383,down,1,270,down,0.18333333333333332,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,28,0.6114509000035468,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,29,0.6255742000066675,down,1,270,down,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,30,0.444769499998074,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,31,0.5310393999970984,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,32,0.6045787000039127,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,33,0.4875371999805793,up,1,90,up,0.15833333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,34,0.5440391000011005,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
