thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,1,SC dotlife,0,0.5250980000018899,down,1,270,down,0.3,29,,,,,,,0,30,Man,Right,
,,1,SC dotlife,1,0.37668290000146953,down,1,270,down,0.3,25,,,,,,,0,30,Man,Right,
,,1,SC dotlife,2,0.36379789999773493,down,1,270,down,0.3,23,,,,,,,0,30,Man,Right,
,,1,SC dotlife,3,0.3623034000011103,up,1,90,up,0.3,21,,,,,,,0,30,Man,Right,
,,1,SC dotlife,4,0.3944048000012117,up,1,90,up,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,5,0.39723310000044876,up,1,90,up,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,6,0.41400900000007823,down,1,270,down,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,7,0.3797439000009035,down,1,270,down,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,8,0.5132048999985273,up,1,90,up,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,9,0.3959307999975863,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,10,0.4462851000025694,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,11,0.3310715000006894,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,12,0.3819261999997252,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,13,0.39869159999943804,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,14,0.34769930000038585,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,15,0.4127831999976479,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,16,0.428708600000391,down,0,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,17,0.49702239999896847,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,18,0.3955743000005896,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,19,0.4307319999970787,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,20,0.43764609999925597,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
