thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,1.0573561000055633,down,1,270,down,0.3,29,0,30,Man,Right,
,,1,SC dotlife,1,0.7096388000063598,down,1,270,down,0.3,25,0,30,Man,Right,
,,1,SC dotlife,2,0.7282391000189818,up,1,90,up,0.3,23,0,30,Man,Right,
,,1,SC dotlife,3,0.6454304999788292,down,1,270,down,0.3,21,0,30,Man,Right,
,,1,SC dotlife,4,0.9611863999743946,up,1,90,up,0.3,19,0,30,Man,Right,
,,1,SC dotlife,5,0.9795535000157543,up,1,90,up,0.3,17,0,30,Man,Right,
,,1,SC dotlife,6,0.7623279999825172,down,1,270,down,0.3,15,0,30,Man,Right,
,,1,SC dotlife,7,0.8636247000540607,down,1,270,down,0.3,13,0,30,Man,Right,
,,1,SC dotlife,8,0.8130215000128374,down,1,270,down,0.3,13,0,30,Man,Right,
,,1,SC dotlife,9,0.861003800004255,down,1,270,down,0.3,11,0,30,Man,Right,
,,1,SC dotlife,10,1.0123856000136584,up,1,90,up,0.3,11,0,30,Man,Right,
,,1,SC dotlife,11,0.7785289999446832,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,12,0.8945131000364199,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,13,0.7634384999983013,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,14,0.7293116999790072,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,15,0.9770436999970116,up,0,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,16,0.746771699981764,up,1,90,up,0.3,11,0,30,Man,Right,
,,1,SC dotlife,17,0.7777691999799572,down,0,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,18,0.7970175999798812,up,0,270,down,0.3,11,0,30,Man,Right,
,,1,SC dotlife,19,1.327770399977453,down,1,270,down,0.3,15,0,30,Man,Right,
,,1,SC dotlife,20,nan,[],0,270,down,0.3,15,0,30,Man,Right,
,,1,SC dotlife,21,nan,[],0,90,up,0.3,19,0,30,Man,Right,
,,1,SC dotlife,22,1.930231600010302,down,1,270,down,0.3,27,0,30,Man,Right,
,,1,SC dotlife,23,0.6293996999738738,up,1,90,up,0.3,27,0,30,Man,Right,
,,1,SC dotlife,24,0.5294766000006348,down,0,90,up,0.3,25,0,30,Man,Right,
,,1,SC dotlife,25,0.6118051000521518,up,1,90,up,0.3,33,0,30,Man,Right,
,,1,SC dotlife,26,0.5786751999985427,up,1,90,up,0.3,33,0,30,Man,Right,
,,1,SC dotlife,27,0.5614892999874428,down,1,270,down,0.3,31,0,30,Man,Right,
,,1,SC dotlife,28,0.5470307000214234,up,1,90,up,0.3,31,0,30,Man,Right,
,,1,SC dotlife,29,0.5135362999862991,down,1,270,down,0.3,31,0,30,Man,Right,
,,1,SC dotlife,30,0.47876849997555837,up,1,90,up,0.3,31,0,30,Man,Right,
,,1,SC dotlife,31,0.5311861999798566,down,1,270,down,0.3,31,0,30,Man,Right,
,,1,SC dotlife,32,0.5453063000459224,up,1,90,up,0.3,29,0,30,Man,Right,
,,1,SC dotlife,33,0.5280309999943711,up,1,90,up,0.3,29,0,30,Man,Right,
,,1,SC dotlife,34,0.5448398999869823,up,1,90,up,0.3,29,0,30,Man,Right,
,,1,SC dotlife,35,0.49701079999795184,up,1,90,up,0.3,29,0,30,Man,Right,
,,1,SC dotlife,36,0.5274817000026815,down,1,270,down,0.3,27,0,30,Man,Right,
,,1,SC dotlife,37,0.5284876000368968,up,1,90,up,0.3,27,0,30,Man,Right,
,,1,SC dotlife,38,0.6623631999827921,up,1,90,up,0.3,23,0,30,Man,Right,
,,1,SC dotlife,39,0.4296228000312112,up,0,270,down,0.3,21,0,30,Man,Right,
