thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,0,Training - hard,16,0.8997255999984191,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,17,0.6163085999996838,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,18,1.1166004999995494,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,19,0.7832995999997365,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,0,1.0375315000001137,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,1,0.8675609000001714,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,2,0.7004514000000199,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,3,0.6007214999990538,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,4,0.5829735999996046,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,5,1.918316400000549,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,6,1.1008920000003855,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,7,0.7840448999995715,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,8,0.5508006000000023,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,9,0.7341366000000562,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,10,0.5501999000007345,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,11,0.66733110000132,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,12,0.6004623000007996,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,13,0.9173444000007294,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,14,0.6008685000015248,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,15,0.7174630999998044,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,16,0.6506933000000572,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,17,0.6004544000006717,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,18,0.5826935000004596,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,19,0.9175267000009626,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,0,1.047877899998639,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,1,0.7840440999989369,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,2,0.7510507999995752,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,3,0.5503425000006246,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,4,1.5352316999997129,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,5,0.8511472999998659,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,6,0.8504914999994071,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,7,0.8671389000010095,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,8,0.8505253000002995,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,9,1.0675259999989066,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,10,0.9000791999987996,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,11,0.90083869999944,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,12,0.7171852000010404,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,13,1.0675649000004341,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,14,0.9337823000005301,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,15,0.8180149999989226,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,16,0.9177295999998023,down,0,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,17,1.8182560999994166,up,1,90,up,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,18,1.2166521999988618,down,1,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,19,1.2334272000007331,up,0,270,down,0.4,,,,,,,7,30,w,r,
,,0,Training - hard,0,1.0271143999998458,down,1,270,down,0.4,,,,,,,7,30,w,r,
