thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,2,SC coherence,7,down,1,270,down,0.5583333333333333,0.47730679999949643,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,8,down,1,270,down,0.5583333333333333,0.5299304999989545,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,9,up,1,90,up,0.5583333333333333,0.48936289999983273,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,10,down,1,270,down,0.5416666666666666,0.5894520999991073,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,11,down,1,270,down,0.5416666666666666,0.576602199998888,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,12,up,1,90,up,0.5416666666666666,0.44441399999959685,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,13,down,1,270,down,0.5166666666666667,0.494398299999375,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,14,up,1,90,up,0.5166666666666667,0.4052061999991565,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,15,down,1,270,down,0.5166666666666667,0.4409365000010439,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,16,up,1,90,up,0.5,0.35766289999992296,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,17,up,0,270,down,0.5,0.41110810000100173,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,18,down,1,270,down,0.6,0.6412302999997337,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,19,up,1,90,up,0.5833333333333334,0.3932920999995986,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,20,down,1,270,down,0.5833333333333334,0.4091511000005994,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,21,up,1,90,up,0.5833333333333334,1.043490500000189,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,22,up,1,90,up,0.5833333333333334,0.5096235000000888,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,23,up,1,90,up,0.5833333333333334,0.5104812999998103,3.18500028912677,,,,,,,14,7,7,,
