"","gm[1]","gm[2]","gm[3]","gm[4]","gm[5]","gm[6]","gm[7]","gm[8]","gm[9]","draw","tau_u[1]","tau_u[2]","tau_u[3]","tau_u[4]","tau_u[5]","tau_u[6]","tau_u[7]","tau_u[8]","tau_u[9]","L_u[1,1]","L_u[2,1]","L_u[3,1]","L_u[4,1]","L_u[5,1]","L_u[6,1]","L_u[7,1]","L_u[8,1]","L_u[9,1]","L_u[1,2]","L_u[2,2]","L_u[3,2]","L_u[4,2]","L_u[5,2]","L_u[6,2]","L_u[7,2]","L_u[8,2]","L_u[9,2]","L_u[1,3]","L_u[2,3]","L_u[3,3]","L_u[4,3]","L_u[5,3]","L_u[6,3]","L_u[7,3]","L_u[8,3]","L_u[9,3]","L_u[1,4]","L_u[2,4]","L_u[3,4]","L_u[4,4]","L_u[5,4]","L_u[6,4]","L_u[7,4]","L_u[8,4]","L_u[9,4]","L_u[1,5]","L_u[2,5]","L_u[3,5]","L_u[4,5]","L_u[5,5]","L_u[6,5]","L_u[7,5]","L_u[8,5]","L_u[9,5]","L_u[1,6]","L_u[2,6]","L_u[3,6]","L_u[4,6]","L_u[5,6]","L_u[6,6]","L_u[7,6]","L_u[8,6]","L_u[9,6]","L_u[1,7]","L_u[2,7]","L_u[3,7]","L_u[4,7]","L_u[5,7]","L_u[6,7]","L_u[7,7]","L_u[8,7]","L_u[9,7]","L_u[1,8]","L_u[2,8]","L_u[3,8]","L_u[4,8]","L_u[5,8]","L_u[6,8]","L_u[7,8]","L_u[8,8]","L_u[9,8]","L_u[1,9]","L_u[2,9]","L_u[3,9]","L_u[4,9]","L_u[5,9]","L_u[6,9]","L_u[7,9]","L_u[8,9]","L_u[9,9]"
"1641",0.0631777,-3.27168,-2.14234,-0.923342,0.336066,-4.75948,2.07051,0.037205,0.0274989,1641,0.166291,1.29976,1.34515,0.443351,0.152385,0.0181012,0.540381,0.0415796,0.0517356,1,-0.533433,0.420086,0.102137,0.122685,0.010459,0.0151759,-0.150159,-0.209769,0,0.845843,-0.426394,-0.0719217,0.0627503,0.00342996,-0.0977408,-0.348899,-0.655171,0,0,0.801072,0.299628,0.0505736,-0.333459,-0.369012,-0.0525709,-0.159115,0,0,0,0.945843,-0.0591865,0.368498,0.287793,-0.239813,0.09032,0,0,0,0,0.987396,-0.347774,-0.103474,0.00529964,0.145275,0,0,0,0,0,0.79495,0.0450712,-0.0481964,-0.343046,0,0,0,0,0,0,0.87091,-0.147517,0.0533046,0,0,0,0,0,0,0,0.878257,-0.163789,0,0,0,0,0,0,0,0,0.569929
"1642",0.107708,-3.16442,-2.08895,-1.19069,0.141233,-4.77407,1.79678,0.0702052,0.0547237,1642,0.229263,1.65398,0.887508,0.698809,0.195429,0.027614,0.618069,0.111048,0.128259,1,0.0830708,-0.44715,0.0566584,-0.22596,0.186633,-0.264994,0.294493,0.381815,0,0.996544,0.130961,-0.00676252,-0.18147,-0.326395,-0.0419283,0.122955,-0.546825,0,0,0.88482,0.204488,0.351594,0.338728,0.383263,-0.229582,-0.200257,0,0,0,0.977205,0.448533,0.327852,0.203316,-0.379551,-0.237282,0,0,0,0,0.768902,0.727993,-0.692156,0.406283,0.076297,0,0,0,0,0,0.326247,0.0467834,-0.00972512,-0.287019,0,0,0,0,0,0,0.508452,-0.144359,0.174997,0,0,0,0,0,0,0,0.717906,0.262398,0,0,0,0,0,0,0,0,0.520688
"1643",0.132297,-3.47952,-2.06726,-1.0733,0.114437,-6.54229,1.9217,0.054832,0.0712594,1643,0.31782,1.7941,0.764957,0.486345,0.135698,0.771137,0.987495,0.0407871,0.129326,1,0.309581,-0.0178731,-0.177774,-0.336167,0.358609,-0.245692,-0.231932,-0.275167,0,0.950873,-0.635069,-0.265711,-0.153245,-0.156388,0.114851,0.192266,-0.491244,0,0,0.772249,-0.153301,-0.368699,-0.424911,0.0681711,0.00531776,-0.0900892,0,0,0,0.935036,-0.489046,0.010595,0.358235,-0.256392,0.3297,0,0,0,0,0.698858,-0.748079,-0.44759,-0.704563,0.175812,0,0,0,0,0,0.326588,-0.247562,-0.335122,-0.0552641,0,0,0,0,0,0,0.729275,-0.339789,-0.533648,0,0,0,0,0,0,0,0.345404,0.145174,0,0,0,0,0,0,0,0,0.475736
"1644",0.0849664,-4.01333,-2.37056,-1.28381,0.2083,-4.12589,2.10437,0.0661101,0.0119766,1644,0.175041,2.42786,0.887828,0.587745,0.238427,0.244677,0.534254,0.0832179,0.0878609,1,-0.1544,-0.113567,-0.109513,-0.0739295,0.285581,0.199732,0.452603,-0.0121942,0,0.988008,0.0658617,-0.127061,-0.401044,-0.303976,-0.346681,0.238488,-0.285256,0,0,0.991345,0.404709,0.189387,0.484833,-0.486536,-0.0190383,-0.503236,0,0,0,0.898929,-0.223095,0.473743,0.342227,-0.204266,-0.422903,0,0,0,0,0.864904,0.375256,0.0305766,0.195135,-0.110481,0,0,0,0,0,0.47511,0.0154978,0.242889,-0.204558,0,0,0,0,0,0,0.696353,-0.362484,0.374144,0,0,0,0,0,0,0,0.6839,0.35154,0,0,0,0,0,0,0,0,0.410819
"1645",0.08889,-3.2917,-2.12889,-1.22671,0.256979,-3.86054,2.08266,0.0787838,-0.00651517,1645,0.165534,2.05918,0.972111,0.526028,0.375802,0.223986,0.576995,0.124624,0.0684239,1,-0.0340856,-0.094973,-0.310709,-0.197202,0.00846613,0.253547,0.438507,0.130648,0,0.999419,0.0352337,-0.0750082,-0.170069,-0.415372,-0.32773,0.175129,-0.154181,0,0,0.994856,0.378458,0.125752,0.408224,-0.440169,-0.248872,-0.46117,0,0,0,0.868679,-0.250596,0.456678,0.263705,0.00420449,-0.489592,0,0,0,0,0.923892,0.276479,0.0618733,0.0816952,-0.0651753,0,0,0,0,0,0.612986,-0.0185558,0.159228,-0.325014,0,0,0,0,0,0,0.748896,-0.462838,0.349289,0,0,0,0,0,0,0,0.684718,0.191958,0,0,0,0,0,0,0,0,0.487902
"1646",0.0234209,-2.54586,-2.29633,-1.33843,0.108238,-4.92335,1.92404,0.0946174,0.117143,1646,0.203933,1.43659,0.761322,0.517858,0.284447,0.635312,0.533076,0.0453251,0.049747,1,0.18997,-0.318542,0.0644332,-0.227382,-0.207347,0.129981,0.283872,0.330338,0,0.98179,-0.294483,-0.232869,-0.141381,-0.0942486,-0.24276,0.215642,-0.483063,0,0,0.901005,0.361939,0.172626,0.0331628,-0.101549,0.305372,0.00966884,0,0,0,0.900345,0.00933979,0.035228,0.301204,-0.0963433,-0.303039,0,0,0,0,0.947851,-0.267113,-0.0122231,0.130827,0.203224,0,0,0,0,0,0.935112,-0.0866096,0.517162,0.329998,0,0,0,0,0,0,0.903043,0.0243113,-0.283718,0,0,0,0,0,0,0,0.696576,0.0871461,0,0,0,0,0,0,0,0,0.572111
"1647",0.0754243,-2.76126,-2.44309,-1.69104,0.0814718,-3.50503,1.78451,0.0978452,0.0164807,1647,0.174945,1.39944,0.425868,0.72449,0.152487,0.451431,0.508712,0.0669851,0.0890736,1,0.149634,0.18452,-0.476305,-0.62823,0.134232,-0.0621096,-0.198464,-0.416384,0,0.988741,-0.140212,-0.326974,-0.435682,0.0617484,0.0465103,0.366175,-0.31737,0,0,0.972776,0.285198,-0.194402,0.0983197,0.0702,-0.387033,-0.237826,0,0,0,0.764777,-0.143043,-0.00215795,-0.0196995,0.0252349,-0.594602,0,0,0,0,0.597709,0.3508,-0.0460512,0.227417,0.145107,0,0,0,0,0,0.919476,-0.122352,-0.112324,0.0822356,0,0,0,0,0,0,0.985684,-0.506101,0.118198,0,0,0,0,0,0,0,0.596341,0.0395236,0,0,0,0,0,0,0,0,0.521954
"1648",0.173353,-2.66483,-2.20804,-1.92059,0.221684,-4.98166,1.53979,0.0918572,0.0174312,1648,0.263273,1.72306,0.362106,0.855417,0.144858,0.151118,0.507709,0.0665232,0.0574279,1,0.0476428,0.0189709,-0.471994,-0.505149,0.284885,-0.200247,0.169136,-0.223779,0,0.998864,0.00986551,-0.469348,-0.399819,-0.0869362,-0.432807,0.600762,-0.433874,0,0,0.999771,0.233724,0.0609302,-0.576554,0.0488966,-0.128059,-0.175526,0,0,0,0.708736,-0.574996,0.214529,0.562856,-0.493296,-0.60727,0,0,0,0,0.500636,0.384876,-0.0852966,0.383284,-0.234873,0,0,0,0,0,0.620254,0.13573,0.0234757,0.317696,0,0,0,0,0,0,0.653974,-0.0794363,0.0443608,0,0,0,0,0,0,0,0.443812,-0.0566407,0,0,0,0,0,0,0,0,0.448127
"1649",0.0972939,-2.42576,-2.66363,-2.01916,-0.208736,-3.99901,1.64041,0.0838795,0.0809118,1649,0.151372,1.56188,0.418299,0.870595,0.640285,0.355746,0.422599,0.0272018,0.0827839,1,-0.33532,-0.239674,-0.324969,0.135824,-0.605326,-0.388093,-0.548197,-0.24601,0,0.942104,-0.104046,-0.402977,-0.412327,0.0525251,-0.267298,-0.138506,-0.265439,0,0,0.965262,0.197321,-0.00930823,0.522919,-0.136623,-0.157684,0.0998992,0,0,0,0.832508,-0.0874471,-0.162664,0.669975,-0.0352162,-0.5694,0,0,0,0,0.896551,0.301225,0.182072,-0.0740913,-0.230973,0,0,0,0,0,0.490083,0.0251696,0.0372242,0.361735,0,0,0,0,0,0,0.525946,-0.510728,-0.151247,0,0,0,0,0,0,0,0.62167,0.0979811,0,0,0,0,0,0,0,0,0.564046
"1650",0.0546202,-2.64969,-2.60919,-2.13251,0.0101515,-4.84684,1.77229,0.0739624,0.0486499,1650,0.132814,1.67272,0.812402,0.816299,0.26628,0.290925,0.798776,0.105761,0.0218469,1,-0.278109,0.0140069,-0.55424,-0.000432051,-0.13147,-0.102103,0.355048,0.0286545,0,0.960549,0.0546771,-0.235115,-0.684995,-0.178837,-0.267093,-0.0649912,-0.0152257,0,0,0.998406,0.47668,0.0464199,-0.0994185,-0.502719,-0.194684,-0.227436,0,0,0,0.640558,-0.248107,-0.264055,0.302364,-0.0552199,-0.576483,0,0,0,0,0.683425,-0.220027,0.295725,-0.124681,-0.256055,0,0,0,0,0,0.907035,-0.395101,-0.28474,-0.136545,0,0,0,0,0,0,0.574915,-0.508437,0.387352,0,0,0,0,0,0,0,0.688211,0.0512243,0,0,0,0,0,0,0,0,0.614828
"1651",-0.199751,-3.25601,-2.30528,-0.892225,0.218585,-3.96965,2.13161,-0.00617023,0.0433774,1651,0.328537,2.15369,0.989392,0.422136,0.00389042,0.523343,0.333669,0.020121,0.102873,1,0.391084,0.0828706,0.386011,0.113505,0.0103851,-0.000656719,0.464792,-0.174298,0,0.920355,0.0345306,-0.107459,-0.108304,0.0901877,-0.354745,0.118834,-0.2517,0,0,0.995962,-0.00567703,-0.758618,-0.0651506,-0.158791,-0.0340227,-0.0330413,0,0,0,0.916196,-0.236363,0.0566499,0.5103,-0.297339,0.0688852,0,0,0,0,0.58653,-0.497144,0.00743319,-0.277848,0.651226,0,0,0,0,0,0.858576,0.165074,0.326675,-0.0608991,0,0,0,0,0,0,0.749153,-0.40759,-0.326113,0,0,0,0,0,0,0,0.574659,0.21775,0,0,0,0,0,0,0,0,0.564679
