thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,1,SC dotlife,0,0.7584019000005355,up,1,90,up,0.3,29,,,,,,,200,28,M,R,
,,1,SC dotlife,1,0.667319199999838,up,1,90,up,0.3,25,,,,,,,200,28,M,R,
,,1,SC dotlife,2,0.738934099999824,up,1,90,up,0.3,23,,,,,,,200,28,M,R,
,,1,SC dotlife,3,0.541230100001485,down,1,270,down,0.3,21,,,,,,,200,28,M,R,
,,1,SC dotlife,4,0.6195472999988851,down,1,270,down,0.3,19,,,,,,,200,28,M,R,
,,1,SC dotlife,5,0.6712772999999288,down,1,270,down,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,6,0.7189488000003621,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,7,0.5528754999995726,up,0,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,8,0.4840284999991127,down,1,270,down,0.3,21,,,,,,,200,28,M,R,
,,1,SC dotlife,9,0.6202197000002343,down,1,270,down,0.3,19,,,,,,,200,28,M,R,
,,1,SC dotlife,10,0.7285692000004929,up,1,90,up,0.3,19,,,,,,,200,28,M,R,
,,1,SC dotlife,11,0.5695622000002913,down,1,270,down,0.3,19,,,,,,,200,28,M,R,
,,1,SC dotlife,12,0.5454960000006395,up,1,90,up,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,13,0.5859386000011,down,1,270,down,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,14,0.4680907000001753,up,1,90,up,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,15,0.4518091000009008,down,1,270,down,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,16,0.5363847999997233,down,1,270,down,0.3,17,,,,,,,200,28,M,R,
,,1,SC dotlife,17,0.5029716000008193,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,18,0.7180196999997861,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,19,0.6201569999993808,down,1,270,down,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,20,0.47912859999996726,down,1,270,down,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,21,0.5848144999999931,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,22,0.5021548999993684,down,1,270,down,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,23,0.5703235000000859,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,24,0.5025397999997949,down,1,270,down,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,25,0.6354603999989195,up,1,90,up,0.3,15,,,,,,,200,28,M,R,
,,1,SC dotlife,26,0.5193592000014178,up,1,90,up,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,27,0.5688487000006717,down,1,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,28,0.5839560000003985,down,1,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,29,0.735083499999746,up,1,90,up,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,30,0.6360767999995005,up,1,90,up,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,31,0.5029847000005248,down,1,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,32,0.5363918999992165,down,1,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,33,0.8706405000011728,down,1,270,down,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,34,0.6250653000006423,up,1,90,up,0.3,13,,,,,,,200,28,M,R,
,,1,SC dotlife,35,0.4208022000002529,down,1,270,down,0.3,11,,,,,,,200,28,M,R,
,,1,SC dotlife,36,0.48781870000129857,up,1,90,up,0.3,11,,,,,,,200,28,M,R,
,,1,SC dotlife,37,0.6452982999999222,up,1,90,up,0.3,11,,,,,,,200,28,M,R,
,,1,SC dotlife,38,0.5843968000008317,up,1,90,up,0.3,11,,,,,,,200,28,M,R,
,,1,SC dotlife,39,0.5461407999991934,up,1,90,up,0.3,11,,,,,,,200,28,M,R,
,,2,SC coherence,0,0.652772499999628,up,1,90,up,0.3,10.56972687109797,,,,,,,200,28,M,R,
,,2,SC coherence,1,0.8380697000011423,down,1,270,down,0.0,10.56972687109797,,,,,,,200,28,M,R,
,,2,SC coherence,2,0.7254969000005076,down,1,270,down,0.2833333333333333,10.56972687109797,,,,,,,200,28,M,R,
,,2,SC coherence,3,0.6602108999995835,up,1,90,up,0.24166666666666667,10.56972687109797,,,,,,,200,28,M,R,
,,2,SC coherence,4,1.2270965000006981,down,0,90,up,0.21666666666666667,10.56972687109797,,,,,,,200,28,M,R,
,,2,SC coherence,5,0.7015201000012894,down,1,270,down,0.38333333333333336,10.56972687109797,,,,,,,200,28,M,R,
